algorithm,caseId,family,method,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,B,b,numAP,positiveTraceCount,negativeTraceCount,finalFormulaSize,binaryNodeCount,unaryNodeCount,unaryDepth,dagNodeCount,hasSharing,positiveTracePassed,negativeTracePassed,constraintAutomatonPassed,identityConstraintsPassed,vars,backendTotalClauses,peakRssKb,error
ATLAS-B,tiny_01473,nnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7650252419998651,2,0,1,2,1,,,,,,,,,,,8115,25607,106732,
MacroATLAS,tiny_01473,nnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7650180329997056,2,0,1,2,1,,0,,,,,,,,,2468,5103,107532,
Oracle,tiny_01474,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21415213000000222,3,1,2,2,1,,,,,,,,,,,,,46840,
ATLAS-B,tiny_01474,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9150809210000261,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,16538,53825,125916,
MacroATLAS,tiny_01474,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9149790680003207,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,5286,12159,131992,
Oracle,tiny_01475,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21411391899982846,3,1,2,2,1,,,,,,,,,,,,,46924,
ATLAS-B,tiny_01475,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8651680769999075,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,12741,40587,110560,
MacroATLAS,tiny_01475,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9152429750001829,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,5286,12159,131604,
Oracle,tiny_01476,required,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.1640699620002124,2,0,1,2,1,,,,,,,,,,,,,44956,
ATLAS-B,tiny_01476,required,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7650606130000597,2,0,1,2,1,,,,,,,,,,,10879,35294,101500,
MacroATLAS,tiny_01476,required,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6649179990004086,2,0,1,2,1,,0,,,,,,,,,1398,2561,89084,
Oracle,tiny_01477,no_dag_reuse,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.16394334899996466,2,0,1,2,1,,,,,,,,,,,,,44532,
ATLAS-B,tiny_01477,no_dag_reuse,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7648220579999361,2,0,1,2,1,,,,,,,,,,,8130,25628,102980,
MacroATLAS,tiny_01477,no_dag_reuse,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6646745530001681,2,0,1,2,1,,0,,,,,,,,,1508,2728,90888,
Oracle,tiny_01478,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,4,REFERENCE_EXHAUSTIVE,0.31419539200032887,4,1,2,2,1,,,,,,,,,,,,,74020,
ATLAS-B,tiny_01478,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,0.8150463590000072,4,1,2,2,1,4,1,1,1,4,False,True,True,True,True,10022,30279,109272,
MacroATLAS,tiny_01478,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,0.9151101920001565,4,1,2,2,1,4,1,1,1,4,False,True,True,True,True,6887,16121,124868,
Oracle,tiny_01479,repair,oracle,SAT,REPAIR,1,2,REFERENCE_EXHAUSTIVE,0.21409287699998458,3,0,1,1,1,,,,,,,,,,,,,45436,
ATLAS-B,tiny_01479,repair,atlas-b,SAT,REPAIR,1,2,PASSED,0.7147195700003977,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1381,2964,97908,
MacroATLAS,tiny_01479,repair,macro,SAT,REPAIR,1,2,PASSED,0.714891883999826,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2316,4422,96496,
Oracle,tiny_01480,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.2140504779999901,2,0,1,1,1,,,,,,,,,,,,,44608,
ATLAS-B,tiny_01480,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7653815819999181,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,7371,23772,104972,
MacroATLAS,tiny_01480,plain,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.5648855559998083,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,320,523,87208,
Oracle,tiny_01481,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.21412352900006226,2,0,1,1,1,,,,,,,,,,,,,44708,
ATLAS-B,tiny_01481,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.8149405660001321,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,7375,23777,106660,
MacroATLAS,tiny_01481,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7649878320003154,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,667,1204,98620,
Oracle,tiny_01482,cnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.2142528009999296,2,0,1,2,1,,,,,,,,,,,,,44960,
ATLAS-B,tiny_01482,cnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.8151718620001702,2,0,1,2,1,,,,,,,,,,,8133,25637,104748,
MacroATLAS,tiny_01482,cnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7649385909999182,2,0,1,2,1,,0,,,,,,,,,3209,6984,108000,
Oracle,tiny_01483,dnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21413977899965175,2,0,1,2,1,,,,,,,,,,,,,44248,
ATLAS-B,tiny_01483,dnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7149308250000104,2,0,1,2,1,,,,,,,,,,,2667,7178,95912,
MacroATLAS,tiny_01483,dnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.8149702170003366,2,0,1,2,1,,0,,,,,,,,,3209,6984,116488,
Oracle,tiny_01484,required,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.21416008000005604,2,0,1,1,1,,,,,,,,,,,,,45184,
ATLAS-B,tiny_01484,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.8150462789999438,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,7370,23770,106780,
MacroATLAS,tiny_01484,required,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.6146027960003266,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,320,523,89700,
Oracle,tiny_01485,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.21408107800016296,2,0,1,1,1,,,,,,,,,,,,,44616,
ATLAS-B,tiny_01485,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7149285549999149,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,1900,5027,100820,
MacroATLAS,tiny_01485,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.71486932300013,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,1321,2432,94468,
Oracle,tiny_01486,global_prop,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.2141464100000121,2,0,1,2,1,,,,,,,,,,,,,44284,
ATLAS-B,tiny_01486,global_prop,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7648862790001658,2,0,1,2,1,,,,,,,,,,,10901,35295,101176,
MacroATLAS,tiny_01486,global_prop,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7649179200002436,2,0,1,2,1,,0,,,,,,,,,2402,5124,105812,
Oracle,tiny_01487,repair,oracle,SAT,REPAIR,0,3,REFERENCE_EXHAUSTIVE,0.21402322699987053,4,0,1,1,1,,,,,,,,,,,,,47008,
ATLAS-B,tiny_01487,repair,atlas-b,SAT,REPAIR,0,3,PASSED,1.115475012999923,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,9527,28800,130248,
MacroATLAS,tiny_01487,repair,macro,SAT,REPAIR,0,3,PASSED,1.0151974549999068,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,3916,7936,126480,
Oracle,tiny_01488,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21410391800009165,3,0,1,1,1,,,,,,,,,,,,,44576,
ATLAS-B,tiny_01488,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8150031580003088,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10070,32383,109920,
MacroATLAS,tiny_01488,plain,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.6647815950000222,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1214,2267,89852,
Oracle,tiny_01489,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2141144990000612,3,0,1,1,1,,,,,,,,,,,,,44968,
ATLAS-B,tiny_01489,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7149239650002528,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2949,8091,98556,
MacroATLAS,tiny_01489,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7649385509998865,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2284,4809,105392,
Oracle,tiny_01490,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.21405979700011812,2,0,1,1,1,,,,,,,,,,,,,44648,
ATLAS-B,tiny_01490,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7149137950000295,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,1903,5036,92608,
MacroATLAS,tiny_01490,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7648586889999933,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,888,1673,110116,
Oracle,tiny_01491,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.16394546900028217,2,0,1,1,1,,,,,,,,,,,,,44508,
ATLAS-B,tiny_01491,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7648393980002766,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,5547,17343,99420,
MacroATLAS,tiny_01491,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7147497010000734,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,888,1673,107516,
Oracle,tiny_01492,required,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21411264799962737,3,0,1,1,1,,,,,,,,,,,,,44944,
