algorithm,caseId,family,method,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,B,b,numAP,positiveTraceCount,negativeTraceCount,finalFormulaSize,binaryNodeCount,unaryNodeCount,unaryDepth,dagNodeCount,hasSharing,positiveTracePassed,negativeTracePassed,constraintAutomatonPassed,identityConstraintsPassed,vars,backendTotalClauses,peakRssKb,error
Oracle,tiny_01000,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21508621599969047,3,0,1,1,1,,,,,,,,,,,,,44668,
ATLAS-B,tiny_01000,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7149651069998981,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5848,17763,97068,
MacroATLAS,tiny_01000,plain,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7146839199999704,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2328,4528,99856,
Oracle,tiny_01001,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21399828900030116,3,0,1,1,1,,,,,,,,,,,,,44928,
ATLAS-B,tiny_01001,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8153039570001965,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10077,32398,108716,
MacroATLAS,tiny_01001,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8152218750001339,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3221,6955,109868,
Oracle,tiny_01002,cnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21441642900026636,2,0,1,2,1,,,,,,,,,,,,,44996,
ATLAS-B,tiny_01002,cnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.765720932000022,2,0,1,2,1,,,,,,,,,,,8134,25641,102136,
MacroATLAS,tiny_01002,cnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7648687199998676,2,0,1,2,1,,0,,,,,,,,,3209,6984,109352,
Oracle,tiny_01003,dnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.16474971200022992,2,0,1,2,1,,,,,,,,,,,,,44648,
ATLAS-B,tiny_01003,dnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7651743080000415,2,0,1,2,1,,,,,,,,,,,4251,12372,102060,
MacroATLAS,tiny_01003,dnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.8154639919998772,2,0,1,2,1,,0,,,,,,,,,3209,6984,114940,
Oracle,tiny_01004,required,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21433149700033027,3,0,1,1,1,,,,,,,,,,,,,44968,
ATLAS-B,tiny_01004,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7646770450000986,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5848,17762,107292,
MacroATLAS,tiny_01004,required,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7154169469999943,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2332,4694,97476,
Oracle,tiny_01005,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2143352370003413,3,0,1,1,1,,,,,,,,,,,,,45108,
ATLAS-B,tiny_01005,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7147578409999369,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,4356,12673,98616,
MacroATLAS,tiny_01005,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7150259879999794,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2825,5484,102888,
Oracle,tiny_01006,global_prop,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21468652600015048,2,0,1,2,1,,,,,,,,,,,,,44972,
ATLAS-B,tiny_01006,global_prop,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7646706760001507,2,0,1,2,1,,,,,,,,,,,8135,25604,103240,
MacroATLAS,tiny_01006,global_prop,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7148653249996642,2,0,1,2,1,,0,,,,,,,,,2402,5124,99512,
Oracle,tiny_01007,repair,oracle,SAT,REPAIR,0,3,REFERENCE_EXHAUSTIVE,0.2141158419999556,4,0,1,1,1,,,,,,,,,,,,,46976,
ATLAS-B,tiny_01007,repair,atlas-b,SAT,REPAIR,0,3,PASSED,1.2655336000002535,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,15515,49500,140248,
MacroATLAS,tiny_01007,repair,macro,SAT,REPAIR,0,3,PASSED,1.0652695879998646,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,3916,7936,130704,
Oracle,tiny_01008,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21413172199982,3,0,1,1,1,,,,,,,,,,,,,44632,
ATLAS-B,tiny_01008,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7651594779999868,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,4327,12628,99156,
MacroATLAS,tiny_01008,plain,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7151734919998489,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2520,4673,94728,
Oracle,tiny_01009,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21408440100003645,3,0,1,1,1,,,,,,,,,,,,,44804,
ATLAS-B,tiny_01009,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8648379430001114,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10080,32405,110656,
MacroATLAS,tiny_01009,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.914895880000131,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5390,12123,129944,
Oracle,tiny_01010,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.21433922799997163,2,0,1,1,1,,,,,,,,,,,,,44216,
ATLAS-B,tiny_01010,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7151535009998042,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,1904,5035,96696,
MacroATLAS,tiny_01010,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7651265270001204,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,888,1673,102200,
Oracle,tiny_01011,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.21406221100005496,2,0,1,1,1,,,,,,,,,,,,,44736,
ATLAS-B,tiny_01011,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.764788499000133,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,2959,8497,97948,
MacroATLAS,tiny_01011,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7649942829998508,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,888,1673,102672,
Oracle,tiny_01012,required,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2141197219998503,3,0,1,1,1,,,,,,,,,,,,,44872,
ATLAS-B,tiny_01012,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8147713440002917,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,7734,24241,101492,
MacroATLAS,tiny_01012,required,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7148038820000693,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2957,6022,96564,
Oracle,tiny_01013,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21410832199990182,3,0,1,1,1,,,,,,,,,,,,,44956,
ATLAS-B,tiny_01013,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7654483860001164,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,7767,24292,109608,
MacroATLAS,tiny_01013,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7648172700000941,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3837,7261,111836,
Oracle,tiny_01014,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21418046400003732,3,0,1,1,1,,,,,,,,,,,,,45252,
ATLAS-B,tiny_01014,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8652542329996322,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10112,32392,111908,
MacroATLAS,tiny_01014,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7648834420001549,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2405,5126,105068,
Oracle,tiny_01015,repair,oracle,UNSAT,REPAIR,0,0,REFERENCE_EXHAUSTIVE,0.21408782199978305,2,0,1,2,1,,,,,,,,,,,,,45404,
ATLAS-B,tiny_01015,repair,atlas-b,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.9651685940002608,2,0,1,2,1,,,,,,,,,,,9150,29002,133468,
MacroATLAS,tiny_01015,repair,macro,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.9151774370002386,2,0,1,2,1,,0,,,,,,,,,1378,2362,125684,
Oracle,tiny_01016,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21410427099999652,4,0,1,1,1,,,,,,,,,,,,,45764,
ATLAS-B,tiny_01016,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9152768100002504,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,18782,62219,131284,
MacroATLAS,tiny_01016,plain,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,1.0153342439998596,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,6152,12759,134044,
Oracle,tiny_01017,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21435881799970957,4,0,1,1,1,,,,,,,,,,,,,46376,
ATLAS-B,tiny_01017,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9150266329997976,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,10719,33786,113332,
MacroATLAS,tiny_01017,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,1.3156445200002054,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,13318,32723,140820,
Oracle,tiny_01018,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21397989800016148,3,0,1,1,1,,,,,,,,,,,,,44884,
ATLAS-B,tiny_01018,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7145590459999767,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2130,5452,97300,
MacroATLAS,tiny_01018,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8648915839999063,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3025,6690,122060,
Oracle,tiny_01019,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21407762100034233,3,0,1,1,1,,,,,,,,,,,,,45256,
ATLAS-B,tiny_01019,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8149105279999276,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10103,32440,108852,
MacroATLAS,tiny_01019,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8650603880000745,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3025,6690,120536,
Oracle,tiny_01020,required,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21408260099997278,4,0,1,1,1,,,,,,,,,,,,,46440,
ATLAS-B,tiny_01020,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8149154380002983,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,13677,44054,110760,
MacroATLAS,tiny_01020,required,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9150334440000734,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,6822,14650,132360,
Oracle,tiny_01021,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21417403299983562,4,0,1,1,1,,,,,,,,,,,,,46424,
ATLAS-B,tiny_01021,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.815114542000174,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,6307,18688,105980,
MacroATLAS,tiny_01021,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8150433910000174,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,4826,9278,120668,
Oracle,tiny_01022,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21426021500019488,4,0,1,1,1,,,,,,,,,,,,,47216,
ATLAS-B,tiny_01022,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.7649085610000839,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,8326,25405,101348,
MacroATLAS,tiny_01022,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.814939848999984,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,2920,6505,107468,
Oracle,tiny_01023,repair,oracle,SAT,REPAIR,1,2,REFERENCE_EXHAUSTIVE,0.2142387349999808,3,0,1,1,1,,,,,,,,,,,,,45496,
ATLAS-B,tiny_01023,repair,atlas-b,SAT,REPAIR,1,2,PASSED,0.7649445429997286,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5187,15000,99944,
MacroATLAS,tiny_01023,repair,macro,SAT,REPAIR,1,2,PASSED,0.7147328609999022,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2316,4422,97540,
Oracle,tiny_01024,plain,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.1640185129999736,2,0,1,2,1,,,,,,,,,,,,,44528,
ATLAS-B,tiny_01024,plain,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6145916039999975,2,0,1,2,1,,,,,,,,,,,1123,2557,86804,
MacroATLAS,tiny_01024,plain,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6146115450001162,2,0,1,2,1,,0,,,,,,,,,1211,2265,90520,
Oracle,tiny_01025,nnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.2140391200000522,2,0,1,2,1,,,,,,,,,,,,,44568,
ATLAS-B,tiny_01025,nnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7147906319996764,2,0,1,2,1,,,,,,,,,,,2650,7148,93984,
MacroATLAS,tiny_01025,nnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7148749440002575,2,0,1,2,1,,0,,,,,,,,,2281,4807,104184,
Oracle,tiny_01026,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21410861200001818,3,1,2,1,2,,,,,,,,,,,,,46864,
ATLAS-B,tiny_01026,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9150974849999329,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,9658,29978,111444,
MacroATLAS,tiny_01026,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9652217749999181,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,5286,12159,131756,
Oracle,tiny_01027,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.2141672939997079,3,1,2,1,2,,,,,,,,,,,,,46856,
ATLAS-B,tiny_01027,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.76494699199975,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,7154,21498,105756,
MacroATLAS,tiny_01027,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9649757189999946,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,5286,12159,133564,
Oracle,tiny_01028,required,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.2141286119999677,2,0,1,2,1,,,,,,,,,,,,,45372,
ATLAS-B,tiny_01028,required,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6648132159998568,2,0,1,2,1,,,,,,,,,,,4228,12337,92044,
MacroATLAS,tiny_01028,required,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6649448799998936,2,0,1,2,1,,0,,,,,,,,,1398,2561,89864,
Oracle,tiny_01029,no_dag_reuse,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21421536399975594,2,0,1,2,1,,,,,,,,,,,,,44668,
ATLAS-B,tiny_01029,no_dag_reuse,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7649039510001785,2,0,1,2,1,,,,,,,,,,,10896,35319,101568,
MacroATLAS,tiny_01029,no_dag_reuse,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.6647986859998127,2,0,1,2,1,,0,,,,,,,,,1508,2728,90052,
Oracle,tiny_01030,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,4,REFERENCE_EXHAUSTIVE,0.3642721840001286,4,1,2,1,2,,,,,,,,,,,,,76016,
ATLAS-B,tiny_01030,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,1.0153129939999417,4,1,2,1,2,4,1,1,1,4,False,True,True,True,True,22169,72021,130076,
MacroATLAS,tiny_01030,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,1.015286081999875,4,1,2,1,2,4,1,1,1,4,False,True,True,True,True,6887,16121,132316,
Oracle,tiny_01031,repair,oracle,SAT,REPAIR,0,3,REFERENCE_EXHAUSTIVE,0.2140630109997801,4,0,1,1,1,,,,,,,,,,,,,46448,
ATLAS-B,tiny_01031,repair,atlas-b,SAT,REPAIR,0,3,PASSED,1.0652318180000293,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,9528,28796,129304,
MacroATLAS,tiny_01031,repair,macro,SAT,REPAIR,0,3,PASSED,1.0152004209999177,4,0,1,1,1,3,0,2,2,3,False,True,True,True,True,3916,7936,130380,
Oracle,tiny_01032,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.16402962300026047,2,0,1,1,1,,,,,,,,,,,,,44568,
ATLAS-B,tiny_01032,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7148546040002657,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,5527,17313,96468,
MacroATLAS,tiny_01032,plain,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.5647038509996491,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,320,523,85712,
Oracle,tiny_01033,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.16412768600002892,2,0,1,1,1,,,,,,,,,,,,,44436,
ATLAS-B,tiny_01033,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7651665680000406,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,5531,17323,103284,
MacroATLAS,tiny_01033,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.6648762479999277,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,667,1204,95152,
Oracle,tiny_01034,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.2140264089998709,3,1,2,2,1,,,,,,,,,,,,,46696,
ATLAS-B,tiny_01034,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.7647640780000984,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,4897,14031,107300,
MacroATLAS,tiny_01034,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9151119559996914,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,5286,12159,124828,
Oracle,tiny_01035,dnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.2141065319997324,3,1,2,2,1,,,,,,,,,,,,,46852,
ATLAS-B,tiny_01035,dnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.9654687699999158,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,16540,53825,126604,
MacroATLAS,tiny_01035,dnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.965075531000366,3,1,2,2,1,3,1,0,0,3,False,True,True,True,True,5286,12159,131120,
Oracle,tiny_01036,required,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.16425061900008586,2,0,1,1,1,,,,,,,,,,,,,44688,
ATLAS-B,tiny_01036,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.6648666979999689,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,866,1944,94388,
MacroATLAS,tiny_01036,required,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.6149596629998086,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,320,523,85976,
Oracle,tiny_01037,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,1,REFERENCE_EXHAUSTIVE,0.2140933010000481,2,0,1,1,1,,,,,,,,,,,,,44740,
ATLAS-B,tiny_01037,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7649336519998542,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,7389,23794,103756,
MacroATLAS,tiny_01037,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,1,PASSED,0.7146916900001088,2,0,1,1,1,1,0,0,0,1,False,True,True,True,True,1321,2432,94092,
Oracle,tiny_01038,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,4,REFERENCE_EXHAUSTIVE,0.3142168180002045,4,1,2,2,1,,,,,,,,,,,,,74352,
ATLAS-B,tiny_01038,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,1.0159441189998688,4,1,2,2,1,4,1,1,1,4,False,True,True,True,True,22169,72016,131560,
MacroATLAS,tiny_01038,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,4,PASSED,0.9151001449999967,4,1,2,2,1,4,1,1,1,4,False,True,True,True,True,6887,16121,125432,
Oracle,tiny_01039,repair,oracle,UNSAT,REPAIR,0,0,REFERENCE_EXHAUSTIVE,0.21410105099994325,2,0,1,2,1,,,,,,,,,,,,,45192,
ATLAS-B,tiny_01039,repair,atlas-b,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.9653490679997958,2,0,1,2,1,,,,,,,,,,,12165,39579,125020,
MacroATLAS,tiny_01039,repair,macro,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.9152485090003211,2,0,1,2,1,,0,,,,,,,,,1191,2066,125668,
Oracle,tiny_01040,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.16397989200004304,3,0,1,1,1,,,,,,,,,,,,,44648,
ATLAS-B,tiny_01040,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7649916629998188,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,4325,12625,101920,
MacroATLAS,tiny_01040,plain,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.6648275969996575,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1214,2267,93660,
Oracle,tiny_01041,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2142018139998072,3,0,1,1,1,,,,,,,,,,,,,44848,
ATLAS-B,tiny_01041,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8651371700002528,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10077,32397,112812,
MacroATLAS,tiny_01041,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7649325930001396,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2284,4809,108188,
Oracle,tiny_01042,cnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.16398578300004374,2,0,1,2,1,,,,,,,,,,,,,44708,
ATLAS-B,tiny_01042,cnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.8150630420000198,2,0,1,2,1,,,,,,,,,,,10899,35320,103584,
MacroATLAS,tiny_01042,cnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.814826155999981,2,0,1,2,1,,0,,,,,,,,,3209,6984,115004,
Oracle,tiny_01043,dnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.2142084239999349,2,0,1,2,1,,,,,,,,,,,,,45076,
ATLAS-B,tiny_01043,dnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.815065771999798,2,0,1,2,1,,,,,,,,,,,10899,35328,106828,
MacroATLAS,tiny_01043,dnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7649137319999681,2,0,1,2,1,,0,,,,,,,,,3209,6984,108272,
Oracle,tiny_01044,required,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.16392107000001488,3,0,1,1,1,,,,,,,,,,,,,45028,
ATLAS-B,tiny_01044,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7649841229999765,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5846,17758,101648,
MacroATLAS,tiny_01044,required,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.664660183000251,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1214,2267,89908,
Oracle,tiny_01045,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21399963900012153,3,0,1,1,1,,,,,,,,,,,,,44984,
ATLAS-B,tiny_01045,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7648936020000292,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,4357,12672,102364,
MacroATLAS,tiny_01045,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7147616510001171,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1420,2690,93448,
