task,family,category,algorithm,B,b,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,bothDecisive,pairStatusAgreement,pairObjectiveAgreement
moreDetailedTest/0027.trace,moreDetailedTest,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,2.0147119939997538,True,True,True
moreDetailedTest/0028.trace,moreDetailedTest,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,6.458146205999583,True,True,True
moreDetailedTest/0028.trace,moreDetailedTest,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,8.853768736000347,True,True,True
moreDetailedTest/0029.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,82.93594271899929,True,True,True
moreDetailedTest/0029.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,104.91195187999983,True,True,True
moreDetailedTest/0030.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,9.042855685999712,True,True,True
moreDetailedTest/0030.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,11.285360244999993,True,True,True
moreDetailedTest/0031.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.18121272199994,False,,
moreDetailedTest/0031.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.25295111999912,False,,
moreDetailedTest/0032.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.2500733220004,False,,
moreDetailedTest/0032.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,173.2259892279999,False,,
moreDetailedTest/0033.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.27616441300052,False,,
moreDetailedTest/0033.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.26797675099988,False,,
moreDetailedTest/0034.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.29879465900012,False,,
moreDetailedTest/0034.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.21807510399958,False,,
moreDetailedTest/0035.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.35037363499998,False,,
moreDetailedTest/0035.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.35428315799982,False,,
moreDetailedTest/0036.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.35503591199995,False,,
moreDetailedTest/0036.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.29612662900036,False,,
moreDetailedTest/0037.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.37366633999955,False,,
moreDetailedTest/0037.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.41299262899884,False,,
moreDetailedTest/0038.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.40286536499934,False,,
moreDetailedTest/0038.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.415521257999,False,,
moreDetailedTest/0039.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.5253335389989,False,,
moreDetailedTest/0039.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.4211528300002,False,,
moreDetailedTest/0040.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,52.73929689900001,True,True,True
moreDetailedTest/0040.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,73.01640160900024,True,True,True
moreDetailedTest/0041.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,24.713502050000898,True,True,True
moreDetailedTest/0041.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,12.631613221999942,True,True,True
