batch,task,B,b,objectiveKind,category,atlasBStatus,macroStatus,atlasBObjectivePrimary,atlasBObjectiveSecondary,macroObjectivePrimary,macroObjectiveSecondary,atlasBWallSec,macroWallSec,atlasBVerification,macroVerification
b2,5to10Traces/0046.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,6,0,6,171.8841874109985,19.397464044000117,PASSED,PASSED
b2,5to10Traces/0047.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,6,0,6,54.131524105999915,30.09781281800042,PASSED,PASSED
b2,5to10Traces/0048.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,6,0,6,146.14778496600047,66.52492866900002,PASSED,PASSED
b2,5to10Traces/0049.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,6,0,6,112.33268870200004,66.11670541500098,PASSED,PASSED
b2,5to10Traces/0050.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,6,180.15658324000015,80.69513191800002,IN_PROGRESS,PASSED
b2,5to10Traces/0051.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,6,180.24438588699923,160.59481774899996,IN_PROGRESS,PASSED
b2,5to10Traces/0052.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,6,180.1733771069994,101.94759540199993,IN_PROGRESS,PASSED
b2,5to10Traces/0053.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.32882913899994,180.2247242859994,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0054.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,6,180.19045383900084,138.37059616399983,IN_PROGRESS,PASSED
b2,5to10Traces/0055.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.3187483820002,180.2931578810003,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0056.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.27425986700018,180.2408226059997,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0057.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.2867300050002,180.24763009400021,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0058.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.22138904599979,180.28668728799857,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0059.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.36873480400027,180.2562994789987,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0060.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.30173458100035,180.30036989399923,IN_PROGRESS,IN_PROGRESS
