batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
b2,moreDetailedTest/0055.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,1183178c8767dd12f98917129108ec5fb88816c431a4f75b16d2dfa73c672b32,2,5,5,atlas-b,1,65172,0.41433459800009587,,4354,ddb82d8397365658ff4bbeb09b4871d2633ba4062315b99a4a8d6e4e7680531a,0.184078106,581,False,TRANSLATED_ONLY,0.6646358919999784,21234,1.0795968840000114
b2,moreDetailedTest/0055.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,1183178c8767dd12f98917129108ec5fb88816c431a4f75b16d2dfa73c672b32,2,5,5,macro,1,47199,0.21406987800014576,,23986,95ef474caf4764c2e7270286e307960cefb23808c7ac9b114223f9f8174e5bf8,0.385748198,856,False,TRANSLATED_ONLY,1.015132427000026,23858,1.22979066899984
b2,moreDetailedTest/0109.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,8ec12fb251529d587f9c7bfa85915698457040f5698347c15730a5b132e737e3,2,500,500,atlas-b,1,6247132,0.5646405360000699,,189064,76ff7dabc8668949ba87a3e2a5e449cf2db30ae6fb1001164f44f22172c315b5,2.795499247,50081,False,TRANSLATED_ONLY,16.73642300000006,2016962,17.30184822299998
b2,moreDetailedTest/0109.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,8ec12fb251529d587f9c7bfa85915698457040f5698347c15730a5b132e737e3,2,500,500,macro,1,2642245,0.3142211879999195,,132747,c97b887ddec8e457700abbc681a226f10ee5d3de4a5db7e61fa05d578906ca75,2.189763953,35917,False,TRANSLATED_ONLY,10.82848673400008,1345447,11.143355107999923
b2,moreDetailedTest/0100.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,ae943fed0f23fd01580a802978ac508e788b67e43b5932095fd40f4fd4d327e3,2,10,10,atlas-b,1,127617,0.41435927800011996,,6176,34b4cfac07c68b1fa0d0e584180b89163c36c5bcef96872cef4b85889baede6e,0.232955274,1081,False,TRANSLATED_ONLY,0.8649171219999516,41394,1.2798528140001508
b2,moreDetailedTest/0100.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,ae943fed0f23fd01580a802978ac508e788b67e43b5932095fd40f4fd4d327e3,2,10,10,macro,1,86842,0.2140894090000529,,27187,ea998e3d0d6fde15eeff238fd8783d06ebc7c45de6e0a6caccf8599806e76e91,0.436544451,1389,False,TRANSLATED_ONLY,1.165406884000049,43723,1.380108317000122
b2,5to10Traces/0144.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,604fd17a18204fd9bec122e669ecccc314f471b58a39ccb29b6af9a238ff456e,2,150,150,atlas-b,1,1876045,0.5145409090000612,,58258,a71bf05cdd9c2217a76c82121adeb25bd767110c40526f879b0f17ffef79cdb3,0.753118323,15081,False,TRANSLATED_ONLY,4.3198317509998105,605836,4.834964434000085
b2,5to10Traces/0144.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,604fd17a18204fd9bec122e669ecccc314f471b58a39ccb29b6af9a238ff456e,2,150,150,macro,1,1033539,0.2641643549998207,,74526,71bcad65117de684aeeaa8ca4a3e41d7ab5f88e3a9519173c8672f0d44ad5eb4,0.950851565,14038,False,TRANSLATED_ONLY,4.46987867200005,524399,4.734642559999884
b2,baseTest/0031.trace,baseTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,62761da60c0251c9234fe017d63810efe7707690c494ee27278655c72a566025,2,53,1447,atlas-b,1,,0.6146076079999148,"Exception in thread ""main"" Type error:
Translation capacity exceeded.
In this scope, universe contains 1529 atoms
and relations of arity 3 cannot be represented.
Visit http://alloy.mit.edu/ for advice on refactoring.
	at edu.mit.csail.sdg.translator.TranslateAlloyToKodkod.rethrow(TranslateAlloyToKodkod.java:411)
	at edu.mit.csail.sdg.translator.TranslateAlloyToKodkod.execute_command(TranslateAlloyToKodkod.java:533)
	at Rq2Translate.main(Rq2Translate.java:47)
",283230,54f75b5ac90c3f96c714babbb75036f86219a492a5bad7ba0340d2e4b7997d4e,,,False,TRANSLATION_ERROR,4.569883699000002,,5.185316016999877
b2,baseTest/0031.trace,baseTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,62761da60c0251c9234fe017d63810efe7707690c494ee27278655c72a566025,2,53,1447,macro,1,5756465,0.3643142749999697,,242901,81a12b0748a7da441c87f8e145d993beaccffa3fd9b023b7523b708f29bed4a7,5.689071327,77881,False,TRANSLATED_ONLY,20.04099047999989,2925580,20.40605731300002
b2,equal/0030.trace,equal,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,711ddd89f791ef8ab17f11b2a19baa627aeac6e0d21f0570a5d9fe2fbc7edc13,2,10,10,atlas-b,1,127617,0.414395248999881,,6190,d861edba05e7c550d7f0131844867dada802c6ea995f40f0ae0ae8b177b3a5fc,0.235084923,1081,False,TRANSLATED_ONLY,0.8651016159999472,41394,1.2801081899999645
b2,equal/0030.trace,equal,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,711ddd89f791ef8ab17f11b2a19baa627aeac6e0d21f0570a5d9fe2fbc7edc13,2,10,10,macro,1,91171,0.21410569900012888,,29641,65b3dec6e02b0fd88c534b657520a2455bdf4a0b12b90469a1321c2721f83895,0.426910739,1428,False,TRANSLATED_ONLY,1.1652865099999872,45923,1.3800032640001518
b2,5to10Traces/0096.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,9e8986cbce62921405456d7978fa1091f428c3cedf59d10e01cb987e4c6c4ee6,2,100,100,atlas-b,1,1251611,0.4644895149999684,,39674,ee1dd90574285c2d8faec027760c140503b6e3b95394424335524b4e5e3910bd,0.557186803,10081,False,TRANSLATED_ONLY,3.1678264659999513,404255,3.632889883999951
b2,5to10Traces/0096.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,9e8986cbce62921405456d7978fa1091f428c3cedf59d10e01cb987e4c6c4ee6,2,100,100,macro,1,710942,0.2641991450000205,,62568,58ee63d039f5b33f3dbb391a42a5c07ba7ff29de13eca1b0f3542262971c93a4,0.725062605,9904,False,TRANSLATED_ONLY,3.668920986000103,365013,3.9337179049998667
b2,5to10Traces/0166.trace,5to10Traces,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,6a37e5470656768f553fc77683f563d89952ded7e1fcecbd6e8c6031e1d59e87,3,150,150,atlas-b,1,3774000,0.5145525800000996,,71888,c294aca383e4cd6eec1b2b4516457204a26fd46703cc1ce9ee83c811fe7f89b8,0.862528157,19679,False,TRANSLATED_ONLY,7.07316661599998,1178106,7.588424722000127
b2,5to10Traces/0166.trace,5to10Traces,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,6a37e5470656768f553fc77683f563d89952ded7e1fcecbd6e8c6031e1d59e87,3,150,150,macro,1,3347450,0.26417466400016565,,108544,f7503d42d79cda8ecdaffdd4575b870bef7f522fdcd236c80cb03723f605473f,1.3546645,31337,False,TRANSLATED_ONLY,10.930304142000068,1638189,11.195131972000127
b2,moreDetailedTest/0018.trace,moreDetailedTest,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,523268829542b00ea917b0010d59cc92adc645e7bab4e373be1c95d98ed9fff8,2,150,150,atlas-b,1,3446953,0.4644738439999401,,58334,280e3f88348f1e4e74b88f2570f50b753b856e54f194f45915c5edc21f8de19e,0.70223896,18147,False,TRANSLATED_ONLY,7.423684521000041,1085263,7.888766929999974
b2,moreDetailedTest/0018.trace,moreDetailedTest,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,523268829542b00ea917b0010d59cc92adc645e7bab4e373be1c95d98ed9fff8,2,150,150,macro,1,2292221,0.2641925650000303,,92128,c5eafba0a179a6916ea7a7cf29eeeb59a2a14954c3d0b36652e3a8e07b26e9f0,1.046924741,22638,False,TRANSLATED_ONLY,8.375148920000129,1146841,8.639983969000014
b2,5to10Traces/0083.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,5,0092a507c55a5a4282a41def1ce2999d755b8d97fb91d2fe0eded9a1fa81ffd8,3,200,34,atlas-b,1,12795814,0.5145168480000848,,88297,b721f3d1ac0cea3555ce0bf8367bd6ca823bd143430fa9ee6313eae2146c0e5c,1.092160744,42299,False,TRANSLATED_ONLY,19.941022864999923,3736944,20.45618828800002
b2,5to10Traces/0083.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,5,0092a507c55a5a4282a41def1ce2999d755b8d97fb91d2fe0eded9a1fa81ffd8,3,200,34,macro,1,5656547,0.3642979139999625,,165965,17222f1cbe5c9a8be19f73c01611053689abbfeecdb0fb1455c28cf71323aa58,2.251819725,49061,False,TRANSLATED_ONLY,16.18599647300016,2413609,16.55105314399998
b2,5to10Traces/0036.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,b1e2aae2986a43365166a93f9337049f72a8d732496765ee22e195921efbf547,3,175,175,atlas-b,1,10191011,0.5146349620001729,,83489,237db4653f74d318e9a9a47e691af7ba3de8ac4810fef0919e37fb5aeedf4915,1.041161469,30125,False,TRANSLATED_ONLY,14.733312161999947,3085282,15.248588427999948
b2,5to10Traces/0036.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,b1e2aae2986a43365166a93f9337049f72a8d732496765ee22e195921efbf547,3,175,175,macro,1,6877915,0.26417460400011805,,122291,ff02d325f8a1015f278b045c540e304c46b17fc552ae4a5366c93b8a8908f7ec,1.626391759,58109,False,TRANSLATED_ONLY,23.194328282999777,3243806,23.459188682000104
b2,5to10Traces/0193.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ec540ad4faf34d19b8c26dffb374dbd65ab41efbc701e91149a9529aa8a6d61a,3,39,200,atlas-b,1,13069205,0.5145952800000941,,90127,02bc165718d3cfa232095fde50467ef8902f81aedc1a1850526245df8dc912c8,1.083902434,43199,False,TRANSLATED_ONLY,20.54187469400017,3816729,21.05710653999995
b2,5to10Traces/0193.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ec540ad4faf34d19b8c26dffb374dbd65ab41efbc701e91149a9529aa8a6d61a,3,39,200,macro,1,5680543,0.3642932159998509,,168305,43ca35ee7c8f4a884d2c7dab0ad862ce2c946df09f365e637ab2357d1156f46f,1.710499221,49901,False,TRANSLATED_ONLY,14.53404413699991,2436986,14.899037098999997
b2,5to10Traces/0049.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,30438c7936428af7ad72cc1315ea699c8be91d6b2fd954c32d5ece0bc742772d,3,12,50,atlas-b,1,15463512,0.41439748899983897,,25247,f783ff0f2bdb54a2fb67c14fd19c0359c25067dd9be325ee3459c01e4086fab5,0.472832738,18149,False,TRANSLATED_ONLY,23.396746312000005,4469325,23.81175197599987
b2,5to10Traces/0049.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,30438c7936428af7ad72cc1315ea699c8be91d6b2fd954c32d5ece0bc742772d,3,12,50,macro,1,3703961,0.31457883799998854,,157174,5a64c6430069f0d75c162cf95cf8ef2af3d44ae7b897cb510bb513841197c2e3,1.09541507,23102,False,TRANSLATED_ONLY,12.931315046999998,1514894,13.24664516100006
