campaign,batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,e4AtlasStatus,e4MacroStatus,activeAnchors,e4MacroExpandedSize,B_over_K,activeAnchors_over_expandedSize,atlasStatus,macroStatus,pairedTranslated,atlasVars,macroVars,atlasClauses,macroClauses,C_V,C_C,atlasWallSec,macroWallSec,atlasModelSha256,macroModelSha256
remaining423,b2,5to10Traces/0021.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,762208528583c652bfc45a65086137c0dbc2552587d032bd3d98e729c206c156,2,14,250,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3921377,2632122,13400196,6126454,1.4898158216070532,2.1872678714310103,21.05550364999999,20.607669864999934,64b84f894cffc9e12ba9d3d4b06f9555f466272ca103b67e2fae43d245623420,af03462ccbf7935ab2d8bc3390214d68638deba8deef0cdb9a2978ece55d3aa8
remaining423,b2,5to10Traces/0022.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,6c80b75187a5ed478cf842bff2085bc613efa684acf8c148e6eaa8f09b40d5c5,3,5,5,SAT,SAT,2,3,1.25,0.6666666666666666,TRANSLATED_ONLY,TRANSLATED_ONLY,True,98382,109932,324721,245868,0.8949350507586508,1.3207127401695218,1.3800608000001375,2.1311538350000774,51ef6a3a02e108a9b1f4343589e5908dfc8b7f1c66aaa94864ed167813088b54,ae02279c3a608f49136e3bc3713a771abd6de4b75bdec8378acef49215aca6d9
remaining423,b2,5to10Traces/0023.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,1f43e054972e60ab5774a73ec981357b10aa7add71b038501ae6ccb7299587c8,3,5,5,SAT,SAT,4,5,1.25,0.8,TRANSLATED_ONLY,TRANSLATED_ONLY,True,162576,108073,555305,255106,1.5043165267920757,2.1767618166566054,1.6804526890000488,2.0312219459997323,28514c4438234e1f4d5ded0bf09e7e5a4cd9266b383170594473f0d0367bc122,afee5887502e1d8bc6e3916beec2d9883d97a8730630b24a19e1489c704571c8
remaining423,b2,5to10Traces/0024.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,0d57abc1154e4fe68d03e0823d739a52f7893a122f72f3fde9028f3a8ae33c3b,3,25,25,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,198856,269613,636375,539269,0.7375608742901864,1.1800696869280451,2.0312025530001847,3.5835764369999197,3258fcac7ff9fff7518c36c9067a1d8ff550a302450a6fee2bcb383a6f558b74,36634933c3f66fbf8f21d51ae96ddfd4b4fc6087dff6719e63bc3c6489f71577
remaining423,b2,5to10Traces/0025.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,38507a0ac6501a233719bcf5b5b67c29c1621684a3e1a855dc0d13a7e773e48f,3,25,25,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1654782,1108441,5683211,2629143,1.4928913672446256,2.161621106193159,8.539977544000067,9.940841815000113,92ac96e6711ebcd0a4cea0fabfd9e182b7f29d044845c7cb7f20feda297cccbc,795115276238283fe671956fb2416928160f2030eeb7aa4a9d0430eaaeafbae9
remaining423,b2,5to10Traces/0026.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,fc3f69ae20507e848cc21ca73eda7dd7bccf867f9de674721df7526c2f6463a1,3,50,50,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,889032,934369,2936386,1978361,0.9514784844103347,1.4842518630320756,5.736111686000186,7.9385759420001705,6ad295c00a462d8807b93475dc94a219204ea19c3374caa60fd54b7ac319ca0b,6fc7ca5f1f845be197164ab6e10a0e694d3ddfedbcd8adfa73f10cfaed29b2d3
remaining423,b2,5to10Traces/0027.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ebc6ebfd17f860ed1799aaa5836ba235cb0bda9d86eab7bd16a584195748e4ed,3,50,50,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1598706,1021528,5473400,2381789,1.5650143706290969,2.2980205215491383,9.441267943999947,7.88941792699984,7c8f162eb45a9ac36db80315d9231f35e376d5d38a543eba5ebffba0eb2e49d5,c1b28fccadae54d39ad73e09499113e816fe2d9592cbebdf93640bcdb03e9d55
remaining423,b2,5to10Traces/0028.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ff529adeae7753e8593aa98359266dfe653752c9f93b02843e2b714d5969b8e9,3,75,75,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,590556,823904,1891425,1679120,0.7167776828368354,1.1264382533708133,4.183736476999911,6.586883814999965,c7e06ecc7e70a7669734ae45f72b9b4e37315d44bc91523efd5d9d13b423ba07,b7619de9944baed9ff4cbea22415299afdfea1648ee57e14960c5ff4fb599535
remaining423,b2,5to10Traces/0029.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,07a00ad7c82e28b5155dcaa566e300eeff50745de409392212cf2b4fd2399ea7,3,75,75,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,2396556,1560235,8205675,3658546,1.5360224581553419,2.242878728325406,12.39555984399999,10.142303720999962,cbc091af985091d123b19e9cdf833e1aa2641b738270d31b49de69a2c0598bd3,2f683efe9327990f2a84dacfee2780fa2b02309e2cdc6998f51585e4002b5940
remaining423,b2,5to10Traces/0030.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,35f848aca47ffdc2abe20fea5611e3d02f2a02a9a64ad107ce1af81e048c4b11,3,100,100,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1767532,1840896,5838236,3907076,0.9601476672229176,1.4942724431262664,8.389684323999973,12.846638586000154,0e53cbf6a766594a61f546ccb6a9bd85a28cef00ad11dde054eeb630dac9de2c,7741d55817b02859f2d20ad4a8891a91d06494eaa36c9a9f6ff6b2381ca0d9f3
remaining423,b2,5to10Traces/0031.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,0e62190a102c28fd19abe1f19ac42dcbc0d81046ffc5d271154d27288c3b7d3b,3,100,100,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,6587532,4465376,22629236,10646114,1.4752468773066367,2.125586481602583,38.53467256900012,33.27888261499993,7467d0bd7829314ed1ffcd302b7b61b0aacd8b5624a84a4a0b71671fe9ffa2e7,1bbe8ff427c3d4c57f717434467d2927e0e9e8f88579fe73472c7a58eb18d42a
