campaign,batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
remaining423,b2,5to10Traces/0012.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,b0ba16143354c8bf8a49bc68a909bda16cdb8008d6a8f5dc909add5fee906128,2,150,150,macro,1,2246902,0.2641298509997796,,92010,5334ab884cac8bbd00112eb68fe94da2e099e9abcfccc540444b66507e9d95a4,1.062926341,22365,False,TRANSLATED_ONLY,7.976043200000277,1127689,8.240748154999892
remaining423,b2,5to10Traces/0013.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,0a8539b9676e0142c7a3d8adc1f088dd222e222568f6c4c0e638bd9d2d1c0025,2,4,150,atlas-b,1,7819466,0.46447168299982877,,45109,78a1c22e7ec636d04092225a86271f2b2bc768f24a52610d9e7eb6a74c4cf339,0.62981941,26327,False,TRANSLATED_ONLY,11.429318920999776,2288427,11.894405386999551
remaining423,b2,5to10Traces/0013.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,0a8539b9676e0142c7a3d8adc1f088dd222e222568f6c4c0e638bd9d2d1c0025,2,4,150,macro,1,3601990,0.31420204300002297,,150385,97c26544adab02fe9489a72aab8cbf779c6144170732e882a13b02ca17489481,1.483045146,32025,False,TRANSLATED_ONLY,10.877556771999934,1546986,11.192405081000288
remaining423,b2,5to10Traces/0014.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,327d8396cc8c1a82e18d32f56a21117f218ebf6b88c17672b7bc0d39fff6f5bc,2,175,175,atlas-b,1,4020372,0.514510111999698,,67684,efe8ca731a305ef780347df232f9474515d65c00aaf5442c4e8c9b29c73e7101,0.844900018,21147,False,TRANSLATED_ONLY,6.17320065299964,1265757,6.688354789999721
remaining423,b2,5to10Traces/0014.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,327d8396cc8c1a82e18d32f56a21117f218ebf6b88c17672b7bc0d39fff6f5bc,2,175,175,macro,1,2597699,0.2641847309996592,,96236,1765823d34adb4c29dad2a022b0fd874766cf81e14749d0210885e92b128bb85,1.14452152,25326,False,TRANSLATED_ONLY,8.875214981999761,1292471,9.14008825999963
remaining423,b2,5to10Traces/0015.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,0f0ec3bcc17fbab360cf629aca37f0d9e5415b296cb77f0082b1ee7567b46347,2,10,175,atlas-b,1,9392214,0.46437460900006045,,53684,f1e4caab4e7cf85ef09da149333e5fe03e28e827d73e1334f67d2acc85223e4a,0.708701025,31597,False,TRANSLATED_ONLY,11.780176283999936,2748622,12.245165456999985
remaining423,b2,5to10Traces/0015.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,0f0ec3bcc17fbab360cf629aca37f0d9e5415b296cb77f0082b1ee7567b46347,2,10,175,macro,1,4287885,0.314495142999931,,168448,b513267cb70c7004aef6c744c836a2a5147d3b05af67a675b2b0b5e0cdc2e265,1.926821804,38136,False,TRANSLATED_ONLY,13.232151665999936,1836162,13.547387565999998
frozen200,b2,5to10Traces/0016.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,2,200,200,atlas-b,1,4593799,0.46445739199953096,,76994,6bf7744089831fad289587bb3fdd42f952c186280b6d0aa504634e61f6005e70,0.972380829,24147,False,TRANSLATED_ONLY,9.02793660000043,1446255,9.49300849500014
frozen200,b2,5to10Traces/0016.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,2,200,200,macro,1,3058437,0.2642201409998961,,102503,26729a3c961dd9e3cdab63b9fa234600f64a52710eda90e88dc0e8a5a011e442,1.269163421,29631,False,TRANSLATED_ONLY,11.631823786000496,1518562,11.896659132000423
remaining423,b2,5to10Traces/0017.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,45486e7c1a54c0d1b69c7fc4e6221d12e666904407bd082fcfdc0f69768ad5c2,2,8,200,atlas-b,1,10559098,0.4643820290000349,,60059,d236d52073cefa5b1d4416039d0a249ea36a2614663293b24dd8ec133294e869,0.809427644,35507,False,TRANSLATED_ONLY,14.337734017000002,3090057,14.802736730999868
remaining423,b2,5to10Traces/0017.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,45486e7c1a54c0d1b69c7fc4e6221d12e666904407bd082fcfdc0f69768ad5c2,2,8,200,macro,1,4795244,0.3141949520002072,,181310,fcfde4a5feb400d26eb2a5c4fd3f01401dc7f92b380714fe9aaa5ef3e336cce2,1.606409111,42483,False,TRANSLATED_ONLY,11.380543264000153,2063324,11.695416281999996
remaining423,b2,5to10Traces/0018.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,2a201848a120d6627cd6a3129527070df72cfba676dee4fc4872104f9611e1e6,2,225,225,atlas-b,1,5167214,0.5148704700000053,,86414,b6e117accec3b2a7b1076a32ff4584ce5e68c2afab52387c85d15144cd1fc15a,1.135168364,27147,False,TRANSLATED_ONLY,8.375252604000025,1626743,8.890761887999815
remaining423,b2,5to10Traces/0018.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,2a201848a120d6627cd6a3129527070df72cfba676dee4fc4872104f9611e1e6,2,225,225,macro,1,3277170,0.3142544279999129,,106265,8fb9951cf5a96468af12ef3701a9bd8888e1e62c83f866305083d21bfd5562ae,1.387853465,31794,False,TRANSLATED_ONLY,10.327681941000037,1629905,10.642568222999898
remaining423,b2,5to10Traces/0019.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,d2ec63cb54f0d08edb08846e8e8cb304c4b44efa96bb5a3f755504a22f94a765,2,14,225,atlas-b,1,12131846,0.5144391159999486,,68638,40464caaaae74a3bc033519c9b05a3814809880a11cd9427e4467517b5d094bd,0.822041726,40777,False,TRANSLATED_ONLY,15.235222393999948,3550252,15.750295594000136
remaining423,b2,5to10Traces/0019.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,d2ec63cb54f0d08edb08846e8e8cb304c4b44efa96bb5a3f755504a22f94a765,2,14,225,macro,1,5525948,0.3644235320000462,,183677,a8a5fef614aab04df8ffb13f26751960c389c01375ab1cc08d7dc42e2532abf4,2.002142377,48909,False,TRANSLATED_ONLY,15.386088155999914,2376323,15.751220383999907
remaining423,b2,5to10Traces/0020.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,fa994ea3d9fc4247e0618daf953b8dc940ca28b3068aba53d565728d72de4500,2,250,250,atlas-b,1,5740632,0.5143995409998752,,95754,952b4b6ae913c158f3fed1d16071b3df1232f325c1212c33e1ea98aee1f43892,1.260698718,30147,False,TRANSLATED_ONLY,8.375826914999834,1807239,8.89083649999975
remaining423,b2,5to10Traces/0020.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,fa994ea3d9fc4247e0618daf953b8dc940ca28b3068aba53d565728d72de4500,2,250,250,macro,1,3541309,0.3141855769999893,,110482,b5d2f9d38cd4072811ef480fe9da24d141737cf42498e658907c5df26e3afcc3,1.805314137,34209,False,TRANSLATED_ONLY,12.23173533399995,1761545,12.546537324999917
remaining423,b2,5to10Traces/0021.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,762208528583c652bfc45a65086137c0dbc2552587d032bd3d98e729c206c156,2,14,250,atlas-b,1,13400196,0.5144953349999923,,75563,64b84f894cffc9e12ba9d3d4b06f9555f466272ca103b67e2fae43d245623420,0.909432771,45027,False,TRANSLATED_ONLY,20.540388039999925,3921377,21.05550364999999
remaining423,b2,5to10Traces/0021.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,762208528583c652bfc45a65086137c0dbc2552587d032bd3d98e729c206c156,2,14,250,macro,1,6126454,0.3142357830001856,,184082,af03462ccbf7935ab2d8bc3390214d68638deba8deef0cdb9a2978ece55d3aa8,2.464434253,54054,False,TRANSLATED_ONLY,20.292699553999682,2632122,20.607669864999934
remaining423,b2,5to10Traces/0022.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,6c80b75187a5ed478cf842bff2085bc613efa684acf8c148e6eaa8f09b40d5c5,3,5,5,atlas-b,1,324721,0.41440508699997736,,4809,51ef6a3a02e108a9b1f4343589e5908dfc8b7f1c66aaa94864ed167813088b54,0.186543013,1225,False,TRANSLATED_ONLY,0.965087560000029,98382,1.3800608000001375
remaining423,b2,5to10Traces/0022.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,6c80b75187a5ed478cf842bff2085bc613efa684acf8c148e6eaa8f09b40d5c5,3,5,5,macro,1,245868,0.21409097700006896,,25907,ae02279c3a608f49136e3bc3713a771abd6de4b75bdec8378acef49215aca6d9,0.419162056,3329,False,TRANSLATED_ONLY,1.9164857140003733,109932,2.1311538350000774
remaining423,b2,5to10Traces/0023.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,1f43e054972e60ab5774a73ec981357b10aa7add71b038501ae6ccb7299587c8,3,5,5,atlas-b,1,555305,0.4143559109998023,,6223,28514c4438234e1f4d5ded0bf09e7e5a4cd9266b383170594473f0d0367bc122,0.26584501,1979,False,TRANSLATED_ONLY,1.2655122040000606,162576,1.6804526890000488
remaining423,b2,5to10Traces/0023.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,1f43e054972e60ab5774a73ec981357b10aa7add71b038501ae6ccb7299587c8,3,5,5,macro,1,255106,0.26420009200001005,,42629,afee5887502e1d8bc6e3916beec2d9883d97a8730630b24a19e1489c704571c8,0.4846362,2882,False,TRANSLATED_ONLY,1.7664481520000663,108073,2.0312219459997323
remaining423,b2,5to10Traces/0024.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,0d57abc1154e4fe68d03e0823d739a52f7893a122f72f3fde9028f3a8ae33c3b,3,25,25,atlas-b,1,636375,0.4644176689998858,,14038,3258fcac7ff9fff7518c36c9067a1d8ff550a302450a6fee2bcb383a6f558b74,0.328612925,3429,False,TRANSLATED_ONLY,1.5661981709999964,198856,2.0312025530001847
remaining423,b2,5to10Traces/0024.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,0d57abc1154e4fe68d03e0823d739a52f7893a122f72f3fde9028f3a8ae33c3b,3,25,25,macro,1,539269,0.26446811400001025,,46125,36634933c3f66fbf8f21d51ae96ddfd4b4fc6087dff6719e63bc3c6489f71577,0.573116998,5906,False,TRANSLATED_ONLY,3.3184713779996855,269613,3.5835764369999197
remaining423,b2,5to10Traces/0025.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,38507a0ac6501a233719bcf5b5b67c29c1621684a3e1a855dc0d13a7e773e48f,3,25,25,atlas-b,1,5683211,0.4643811410001035,,20854,92ac96e6711ebcd0a4cea0fabfd9e182b7f29d044845c7cb7f20feda297cccbc,0.47342137,11375,False,TRANSLATED_ONLY,8.075029941000139,1654782,8.539977544000067
remaining423,b2,5to10Traces/0025.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,38507a0ac6501a233719bcf5b5b67c29c1621684a3e1a855dc0d13a7e773e48f,3,25,25,macro,1,2629143,0.31423109200022736,,136697,795115276238283fe671956fb2416928160f2030eeb7aa4a9d0430eaaeafbae9,1.054185458,18293,False,TRANSLATED_ONLY,9.625945287999912,1108441,9.940841815000113
remaining423,b2,5to10Traces/0026.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,fc3f69ae20507e848cc21ca73eda7dd7bccf867f9de674721df7526c2f6463a1,3,50,50,atlas-b,1,2936386,0.46451256899990767,,25589,6ad295c00a462d8807b93475dc94a219204ea19c3374caa60fd54b7ac319ca0b,0.464827317,8875,False,TRANSLATED_ONLY,5.271017192999807,889032,5.736111686000186
remaining423,b2,5to10Traces/0026.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,fc3f69ae20507e848cc21ca73eda7dd7bccf867f9de674721df7526c2f6463a1,3,50,50,macro,1,1978361,0.2641623790000267,,71073,6fc7ca5f1f845be197164ab6e10a0e694d3ddfedbcd8adfa73f10cfaed29b2d3,0.748732811,17783,False,TRANSLATED_ONLY,7.673799539000356,934369,7.9385759420001705
remaining423,b2,5to10Traces/0027.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ebc6ebfd17f860ed1799aaa5836ba235cb0bda9d86eab7bd16a584195748e4ed,3,50,50,atlas-b,1,5473400,0.46439339900007326,,39153,7c8f162eb45a9ac36db80315d9231f35e376d5d38a543eba5ebffba0eb2e49d5,0.630533522,18179,False,TRANSLATED_ONLY,8.976282841000057,1598706,9.441267943999947
remaining423,b2,5to10Traces/0027.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ebc6ebfd17f860ed1799aaa5836ba235cb0bda9d86eab7bd16a584195748e4ed,3,50,50,macro,1,2381789,0.3142600579999453,,116323,c1b28fccadae54d39ad73e09499113e816fe2d9592cbebdf93640bcdb03e9d55,1.01726911,21488,False,TRANSLATED_ONLY,7.574431423000078,1021528,7.88941792699984
remaining423,b2,5to10Traces/0028.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ff529adeae7753e8593aa98359266dfe653752c9f93b02843e2b714d5969b8e9,3,75,75,atlas-b,1,1891425,0.46445819000018673,,37138,c7e06ecc7e70a7669734ae45f72b9b4e37315d44bc91523efd5d9d13b423ba07,0.540384743,9929,False,TRANSLATED_ONLY,3.7186836819996643,590556,4.183736476999911
remaining423,b2,5to10Traces/0028.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,ff529adeae7753e8593aa98359266dfe653752c9f93b02843e2b714d5969b8e9,3,75,75,macro,1,1679120,0.26417807799998627,,75417,b7619de9944baed9ff4cbea22415299afdfea1648ee57e14960c5ff4fb599535,0.805013441,16217,False,TRANSLATED_ONLY,6.322078211999724,823904,6.586883814999965
remaining423,b2,5to10Traces/0029.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,07a00ad7c82e28b5155dcaa566e300eeff50745de409392212cf2b4fd2399ea7,3,75,75,atlas-b,1,8205675,0.46443608100003075,,57453,cbc091af985091d123b19e9cdf833e1aa2641b738270d31b49de69a2c0598bd3,0.892183684,27179,False,TRANSLATED_ONLY,11.930516339000178,2396556,12.39555984399999
remaining423,b2,5to10Traces/0029.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,07a00ad7c82e28b5155dcaa566e300eeff50745de409392212cf2b4fd2399ea7,3,75,75,macro,1,3658546,0.3642546980001953,,133083,2f683efe9327990f2a84dacfee2780fa2b02309e2cdc6998f51585e4002b5940,1.214175988,31820,False,TRANSLATED_ONLY,9.777376836999792,1560235,10.142303720999962
remaining423,b2,5to10Traces/0030.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,35f848aca47ffdc2abe20fea5611e3d02f2a02a9a64ad107ce1af81e048c4b11,3,100,100,atlas-b,1,5838236,0.4644002959998943,,48689,0e53cbf6a766594a61f546ccb6a9bd85a28cef00ad11dde054eeb630dac9de2c,0.640982004,17375,False,TRANSLATED_ONLY,7.924702745000104,1767532,8.389684323999973
remaining423,b2,5to10Traces/0030.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,35f848aca47ffdc2abe20fea5611e3d02f2a02a9a64ad107ce1af81e048c4b11,3,100,100,macro,1,3907076,0.26415750100022706,,91033,7741d55817b02859f2d20ad4a8891a91d06494eaa36c9a9f6ff6b2381ca0d9f3,1.018604557,33656,False,TRANSLATED_ONLY,12.581821078999837,1840896,12.846638586000154
remaining423,b2,5to10Traces/0031.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,0e62190a102c28fd19abe1f19ac42dcbc0d81046ffc5d271154d27288c3b7d3b,3,100,100,atlas-b,1,22629236,0.4644397389997721,,75754,7467d0bd7829314ed1ffcd302b7b61b0aacd8b5624a84a4a0b71671fe9ffa2e7,0.875792275,44375,False,TRANSLATED_ONLY,38.06962782599976,6587532,38.53467256900012
