batch,task,family,inputSha256,B,b,p,K,C_K,numAP,positiveTraces,negativeTraces,minTraceLength,maxTraceLength,meanTraceLength,constraintFeatures,objectiveKind,isRepair,qStates,fiberCatalogSize,unquotientedFiberCount,encodedFiberCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,activeAnchors,activeMacroEdges,atlasPrimaryVars,macroPrimaryVars,atlasVars,macroVars,C_V,atlasTotalClauses,macroTotalClauses,C_C,atlasHardClauses,atlasSoftClauses,macroHardClauses,macroSoftClauses,atlasModelBytes,macroModelBytes,C_ModelBytes,atlasModelCount,macroModelCount,atlasMetricStatus,macroMetricStatus,atlasMetricSource,macroMetricSource,atlasRq2Attempts,macroRq2Attempts,atlasE4Status,macroE4Status,atlasE4WallSec,macroE4WallSec,atlasModelSha256,macroModelSha256
b2,5to10Traces/0021.trace,5to10Traces,762208528583c652bfc45a65086137c0dbc2552587d032bd3d98e729c206c156,5,2,0,5,1.0,2,14,250,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,45027,54054,3921377,2632122,1.4898158216070532,13400196,6126454,2.1872678714310103,,,,,75563,184083,0.4104833145917874,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,37.7047411679996,40.11937716099965,64b84f894cffc9e12ba9d3d4b06f9555f466272ca103b67e2fae43d245623420,dddf141c07876598907f086df1d17c65acc407812669138618aac18bc7650261
b2,5to10Traces/0022.trace,5to10Traces,6c80b75187a5ed478cf842bff2085bc613efa684acf8c148e6eaa8f09b40d5c5,10,2,0,8,1.25,3,5,5,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,42,94,36,2,0.3333333333333333,1,2,3,1120,3242,82237,108649,0.7569052637391969,269611,242455,1.1120042894557753,,,,,4809,25696,0.18714975093399752,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,1.7231571869997424,3.2575171730004513,fd1da0f4ca54ede38ac0b2f10bd9fe90af673669ca8d8560e421627338efbdba,0fecf918802b706cbe502adcb437b61275edfda051a435dfaec79e9549557284
b2,5to10Traces/0023.trace,5to10Traces,1f43e054972e60ab5774a73ec981357b10aa7add71b038501ae6ccb7299587c8,10,2,0,8,1.25,3,5,5,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,62,94,46,2,0.2,1,4,5,2420,5228,288287,227898,1.2649825799261072,987561,547108,1.8050567712407788,,,,,6224,62736,0.09920938536087733,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,17.95575235599972,6.9591881619999185,2ed5405c05d4f5a8284544cca738f32790538d2c1e339a24394b9186f359f69b,47cded68f856c53fc9589e20a7cd52ed39e540d646e7f0b91b2704000efc4535
b2,5to10Traces/0024.trace,5to10Traces,0d57abc1154e4fe68d03e0823d739a52f7893a122f72f3fde9028f3a8ae33c3b,10,2,0,8,1.25,3,25,25,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,42,94,36,,,,,,4320,9710,377757,465638,0.8112675511878326,1239871,972040,1.2755349574091601,,,,,14039,50543,0.27776348851473004,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.09462376699958,180.06350541499978,328ed45a2255b4706cfd53029a64d197de3fd4c5bd5cc6b20406651d9314c0e1,4109e677fe3e9b5dba6a4f17bcc7b017c33591aaa2ac4b3821988708d91cfaa3
b2,5to10Traces/0025.trace,5to10Traces,38507a0ac6501a233719bcf5b5b67c29c1621684a3e1a855dc0d13a7e773e48f,10,2,0,8,1.25,3,25,25,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,62,94,46,,,,,,10820,18098,1408007,1055979,1.3333664779318528,4829621,2502851,1.929647829615107,,,,,20854,124863,0.1670150484931485,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.13866602999997,180.16497409600015,d952726e92251e6135e682dbef0576a36621811004b9f927498ec7ce177c0be8,c4613f46c6255c1a33363908861044337a06b27072af406ad9ecb8e1cc3abf11
b2,5to10Traces/0026.trace,5to10Traces,fc3f69ae20507e848cc21ca73eda7dd7bccf867f9de674721df7526c2f6463a1,10,2,0,8,1.25,3,50,50,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,42,94,36,,,,,,8320,17696,747157,933036,0.8007804629189013,2452696,1974898,1.24193553287309,,,,,25589,70750,0.36168197879858655,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.1105673940001,180.16771608700037,b52a641904aa8b1c01463d9da2708a3d26b6b4bca83c515fda304ff195b72801,9202bbd0d14d32f45e1092b5902d3804db44e8b8e955794e2d0908e1e01c933d
b2,5to10Traces/0027.trace,5to10Traces,ebc6ebfd17f860ed1799aaa5836ba235cb0bda9d86eab7bd16a584195748e4ed,10,2,0,8,1.25,3,50,50,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,62,94,46,,,,,,21320,34466,2807657,2135659,1.314656038253298,9632196,5076966,1.8972346870158279,,,,,39154,163589,0.23934372115484537,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.25112239400005,180.22367661099997,0736ddf2e1f92070b2da59372d00df19954eb35b5ae309b0955aeb906bd208f1,75182c2ca8291ba1b729a65ddd851671df706b38fb28870343d515d81c2ed57d
b2,5to10Traces/0028.trace,5to10Traces,ff529adeae7753e8593aa98359266dfe653752c9f93b02843e2b714d5969b8e9,10,2,0,8,1.25,3,75,75,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,42,94,36,,,,,,12320,25913,1116557,1401717,0.7965637856999666,3665521,2969527,1.234378741126112,,,,,37139,80027,0.4640808727054619,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.1657151899999,180.13169388000006,827a801e8301b3552e6726ddd3e9e6fa128dc4adcfdb26ad64ba56b4cc574fee,043a27cf4ff1fca46f210676ad2eb0a7c936e9b252f1c88c34dbba6c778413d9
b2,5to10Traces/0029.trace,5to10Traces,07a00ad7c82e28b5155dcaa566e300eeff50745de409392212cf2b4fd2399ea7,10,2,0,8,1.25,3,75,75,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,62,94,46,,,,,,31820,50702,4207307,3245997,1.2961524610158297,14434771,7785172,1.854136427557413,,,,,57454,182108,0.3154941024007732,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.40257828500035,180.28053759900104,4eb4ad2b3dec84a949bcebcf1adcb4c9f4819f9414fc62bfcce661e3cc53184c,1279419818648b7f5fe34a05ccfbc76d8bade47a771d3769c4e3e58ed6d5c865
b2,5to10Traces/0030.trace,5to10Traces,35f848aca47ffdc2abe20fea5611e3d02f2a02a9a64ad107ce1af81e048c4b11,10,2,0,8,1.25,3,100,100,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,42,94,36,,,,,,16320,33569,1485957,1839563,0.8077771731655834,4878346,3903613,1.2497002136226107,,,,,48689,90710,0.5367544923382207,1,1,TRANSLATED_ONLY,TRANSLATED_ONLY,TRANSLATE_ONLY,TRANSLATE_ONLY,1,1,TIMEOUT,TIMEOUT,180.16811998199955,180.2267212530005,b8d02ab555621641286457bb4c8e8c47b36908f7272ef6c23a9bfd7bd4750ec5,0acad0afdcb75fd67aece5d94f715fb210525bbc15c5790f849f93df5bef22ce
