batch,task,family,method,inputSha256,sourceCommit,B,b,p,K,numAP,positiveTraces,negativeTraces,minTraceLength,maxTraceLength,meanTraceLength,constraintFeatures,objectiveKind,e4Status,e4WallSec,e4Verification,metricStatus,metricSource,rq2Attempts,primaryVars,vars,backendTotalClauses,hardClauses,softClauses,modelBytes,modelCount,modelSha256,qStates,fiberCatalogSize,unquotientedFiberCount,encodedFiberCount,costScope,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,activeAnchors,activeMacroEdges,error,translationWallSec
b2,5to10Traces/0014.trace,5to10Traces,macro,327d8396cc8c1a82e18d32f56a21117f218ebf6b88c17672b7bc0d39fff6f5bc,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,175,175,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,16.707587052000235,PASSED,REUSED_E4,E4_REUSED,0,25326,1292471,2597699,,,96237,1,8e76652b11181e36e95dfa81adb0fc4a3794ca01c4dfbce6b1cf37077bf5e1b4,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0015.trace,5to10Traces,atlas-b,0f0ec3bcc17fbab360cf629aca37f0d9e5415b296cb77f0082b1ee7567b46347,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,10,175,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,24.196251706999647,PASSED,REUSED_E4,E4_REUSED,0,31597,2748622,9392214,,,53684,1,f1e4caab4e7cf85ef09da149333e5fe03e28e827d73e1334f67d2acc85223e4a,,,,,5,,,,,,,0
b2,5to10Traces/0015.trace,5to10Traces,macro,0f0ec3bcc17fbab360cf629aca37f0d9e5415b296cb77f0082b1ee7567b46347,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,10,175,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,28.15070994600137,PASSED,REUSED_E4,E4_REUSED,0,38136,1836162,4287885,,,168449,1,a980834c90d8af1525c0e2c2458efda3b755833980bf701b0a1c87b7f479307b,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0016.trace,5to10Traces,atlas-b,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,200,200,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,17.120992011,PASSED,REUSED_E4,E4_REUSED,0,24147,1446255,4593799,,,76994,1,6bf7744089831fad289587bb3fdd42f952c186280b6d0aa504634e61f6005e70,,,,,5,,,,,,,0
b2,5to10Traces/0016.trace,5to10Traces,macro,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,200,200,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,20.123747234999428,PASSED,REUSED_E4,E4_REUSED,0,29631,1518562,3058437,,,102504,1,a6d9389e9b8c9ea567aaba0c91d81e198d7d24ad9d3071a0da086fe72b93551c,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0017.trace,5to10Traces,atlas-b,45486e7c1a54c0d1b69c7fc4e6221d12e666904407bd082fcfdc0f69768ad5c2,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,8,200,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,28.869363826999916,PASSED,REUSED_E4,E4_REUSED,0,35507,3090057,10559098,,,60059,1,d236d52073cefa5b1d4416039d0a249ea36a2614663293b24dd8ec133294e869,,,,,5,,,,,,,0
b2,5to10Traces/0017.trace,5to10Traces,macro,45486e7c1a54c0d1b69c7fc4e6221d12e666904407bd082fcfdc0f69768ad5c2,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,8,200,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,23.751465603999918,PASSED,REUSED_E4,E4_REUSED,0,42483,2063324,4795244,,,181311,1,db333d3038840235f7d3c1e6cf75d54a7a4f5b4c8f2ed4b93ac6f172248d5667,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0018.trace,5to10Traces,atlas-b,2a201848a120d6627cd6a3129527070df72cfba676dee4fc4872104f9611e1e6,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,225,225,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,19.76913699099896,PASSED,REUSED_E4,E4_REUSED,0,27147,1626743,5167214,,,86414,1,b6e117accec3b2a7b1076a32ff4584ce5e68c2afab52387c85d15144cd1fc15a,,,,,5,,,,,,,0
b2,5to10Traces/0018.trace,5to10Traces,macro,2a201848a120d6627cd6a3129527070df72cfba676dee4fc4872104f9611e1e6,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,225,225,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,28.809953281999697,PASSED,REUSED_E4,E4_REUSED,0,31794,1629905,3277170,,,106266,1,9886b90b292f30bad1fb85c57cc19721779404f7d1b1992283f0fa55d8ec7622,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0019.trace,5to10Traces,atlas-b,d2ec63cb54f0d08edb08846e8e8cb304c4b44efa96bb5a3f755504a22f94a765,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,14,225,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,33.39325099400048,PASSED,REUSED_E4,E4_REUSED,0,40777,3550252,12131846,,,68638,1,40464caaaae74a3bc033519c9b05a3814809880a11cd9427e4467517b5d094bd,,,,,5,,,,,,,0
b2,5to10Traces/0019.trace,5to10Traces,macro,d2ec63cb54f0d08edb08846e8e8cb304c4b44efa96bb5a3f755504a22f94a765,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,14,225,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,24.430970430999878,PASSED,REUSED_E4,E4_REUSED,0,48909,2376323,5525948,,,183678,1,f6c11eb43c25f0dc5898ec69806f933927634fa54d8f1e2bf589ff73e924de59,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0020.trace,5to10Traces,atlas-b,fa994ea3d9fc4247e0618daf953b8dc940ca28b3068aba53d565728d72de4500,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,250,250,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,17.90925212600007,PASSED,REUSED_E4,E4_REUSED,0,30147,1807239,5740632,,,95754,1,952b4b6ae913c158f3fed1d16071b3df1232f325c1212c33e1ea98aee1f43892,,,,,5,,,,,,,0
b2,5to10Traces/0020.trace,5to10Traces,macro,fa994ea3d9fc4247e0618daf953b8dc940ca28b3068aba53d565728d72de4500,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,250,250,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,35.82780501800005,PASSED,REUSED_E4,E4_REUSED,0,34209,1761545,3541309,,,110483,1,b75c6edd2dab64282fbed33730821c5dea29e53fbb25ca2ff9cb5677ece49e6d,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0021.trace,5to10Traces,atlas-b,762208528583c652bfc45a65086137c0dbc2552587d032bd3d98e729c206c156,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,14,250,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,37.7047411679996,PASSED,REUSED_E4,E4_REUSED,0,45027,3921377,13400196,,,75563,1,64b84f894cffc9e12ba9d3d4b06f9555f466272ca103b67e2fae43d245623420,,,,,5,,,,,,,0
b2,5to10Traces/0021.trace,5to10Traces,macro,762208528583c652bfc45a65086137c0dbc2552587d032bd3d98e729c206c156,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,14,250,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,40.11937716099965,PASSED,REUSED_E4,E4_REUSED,0,54054,2632122,6126454,,,184083,1,dddf141c07876598907f086df1d17c65acc407812669138618aac18bc7650261,1,34,44,28,5,1,2.0,2,1,1,,0
