campaign,server,algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,runCommit,timeoutSec,solved,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction
primary,139.159.185.102,ATLAS-B,control_B/B11.trace,control_B,atlas-b,1,SAT,,ATLAS_B,,11,3,0,11,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.035859053,,,0.033916882,2.30569022,0.024497744,0.017027963,2.8351463500002865,420252,PASSED,6218,248410,852479,,12,2128,,,,,1,,1,,,,8,,,2.669453114,,,,,1,0,0,0,False,B,11,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,control_B/B11.trace,control_B,macro,1,SAT,,MACRO,,11,3,0,11,1,64,1,1,1,MIN_EXPANDED_SIZE,0,1,0.034882957,0.000449931,0.062436488,0.00351599,0.711145282,0.004404262,0.006497055,1.0536797679997107,129184,PASSED,12416,3988,8007,,11,426,63,1,0.0,0,1,,1,WEIGHTED_MAXSAT,104,1,1,0.295512878,0.415632404,0.901573137,8,8,0.005069719,1,1,0,0,0,False,B,11,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,control_B/B15.trace,control_B,atlas-b,1,SAT,,ATLAS_B,,15,5,0,15,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.041451725,,,0.031314036,2.021685684,0.011813831,0.010159179,2.5372857020010997,411052,PASSED,6218,248410,852483,,12,2128,,,,,1,,1,,,,8,,,2.379516108,,,,,1,0,0,0,False,B,15,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,control_B/B15.trace,control_B,macro,1,SAT,,MACRO,,15,5,0,15,1,72,1,1,1,MIN_EXPANDED_SIZE,0,1,0.034315153,0.000475252,0.077465541,0.003212621,0.658227336,0.004900585,0.00668248,0.9970297459985886,125788,PASSED,12416,3988,8007,,15,426,71,1,0.0,0,1,,1,WEIGHTED_MAXSAT,144,1,1,0.273880328,0.384347008,0.84312824,8,8,0.004964697,1,1,0,0,0,False,B,15,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,control_B/B21.trace,control_B,atlas-b,1,SAT,,ATLAS_B,,21,7,0,21,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.039660349,,,0.028971147,1.964368436,0.011313328,0.015846213,2.4851042039990716,411072,PASSED,6218,248408,852449,,12,2128,,,,,1,,1,,,,8,,,2.332003279,,,,,1,0,0,0,False,B,21,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,control_B/B21.trace,control_B,macro,1,SAT,,MACRO,,21,7,0,21,1,84,1,1,1,MIN_EXPANDED_SIZE,0,1,0.030207299,0.000339479,0.085127175,0.005083239,0.717464463,0.004461264,0.008596699,1.1165831170001184,133072,PASSED,12416,3988,8007,,21,426,83,1,0.0,0,1,,1,WEIGHTED_MAXSAT,204,1,1,0.325242655,0.392221808,0.943652458,8,8,0.005543821,1,1,0,0,0,False,B,21,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,control_B/B31.trace,control_B,atlas-b,1,SAT,,ATLAS_B,,31,10,0,31,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.033155323,,,0.043822605,2.075828872,0.011550364,0.011436021,2.596971200000553,409516,PASSED,6219,248411,852486,,12,2128,,,,,1,,1,,,,8,,,2.445562027,,,,,1,0,0,0,False,B,31,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,control_B/B31.trace,control_B,macro,1,SAT,,MACRO,,31,10,0,31,1,104,1,1,1,MIN_EXPANDED_SIZE,0,1,0.035172774,0.000441981,0.096130385,0.003416777,0.740726585,0.003657993,0.006193197,1.0758865419993526,137868,PASSED,12416,3988,8007,,31,426,103,1,0.0,0,1,,1,WEIGHTED_MAXSAT,304,1,1,0.311031843,0.429694742,0.961925322,8,8,0.00510896,1,1,0,0,0,False,B,31,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,favorable_B/B07.trace,favorable_B,atlas-b,1,SAT,,ATLAS_B,,7,1,0,5,1,,,,7,MIN_EXPANDED_SIZE,0,7,0.03260457,,,0.028363331,15.084350423,0.016786918,0.03264386,15.589765122000244,418184,PASSED,4248,241771,834036,,8,2113,,,,,1,,1,,,,7,,,15.459111678,,,,,7,6,0,6,False,B,7,small_b_long_unary,X(X(X(X(X(X(x0)))))),6,0,1,4,4,12,none,,1,0.2857142857142857,,20260925,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,favorable_B/B07.trace,favorable_B,macro,1,SAT,,MACRO,,7,1,0,5,1,46,1,1,7,MIN_EXPANDED_SIZE,0,7,0.038193051,0.000543893,0.070158795,0.012797686,3.089126551,0.004489995,0.024119574,3.5034849930016208,277052,PASSED,53334,109150,259002,,5,2668,45,1,6.0,6,1,,1,WEIGHTED_MAXSAT,64,40,7,0.621675476,2.467451075,3.327197218,8,8,0.010420655,0,7,6,0,6,False,B,7,small_b_long_unary,X(X(X(X(X(X(x0)))))),6,0,1,4,4,12,none,,1,0.2857142857142857,,20260925,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
