campaign,server,task,axis,axisValue,regime,B,b,p,K,q,compressionPotential,targetUnaryDepth,atlasStatus,macroStatus,atlasSec,macroSec,speedup,bothSolved,statusAgreement,objectiveAgreement
primary,139.159.185.102,favorable_B/B07.trace,B,7,small_b_long_unary,7,1,0,5,1,0.2857142857142857,6,SAT,SAT,15.589765122000244,3.5034849930016208,4.449787897805057,True,True,True
primary,139.159.185.102,favorable_B/B11.trace,B,11,small_b_long_unary,11,1,0,5,1,0.5454545454545454,6,SAT,SAT,70.93005077199996,4.291330976000609,16.528683331273747,True,True,True
primary,139.159.185.102,favorable_B/B15.trace,B,15,small_b_long_unary,15,1,0,5,1,0.6666666666666667,6,SAT,SAT,70.32626222000181,4.464368908000324,15.752789177877839,True,True,True
primary,139.159.185.102,favorable_B/B21.trace,B,21,small_b_long_unary,21,1,0,5,1,0.7619047619047619,6,SAT,SAT,47.18917357199825,3.9759455029998207,11.868667097271423,True,True,True
primary,139.159.185.102,favorable_B/B31.trace,B,31,small_b_long_unary,31,1,0,5,1,0.8387096774193549,6,SAT,SAT,66.53318648200002,4.463359343000775,14.906526983164408,True,True,True
primary,139.159.185.102,favorable_B/B41.trace,B,41,small_b_long_unary,41,1,0,5,1,0.8780487804878049,6,SAT,SAT,69.43911617100093,4.289329125997028,16.188805785534175,True,True,True
primary,139.159.185.102,shape/branches.trace,shape,two_branches,small_b_long_unary,21,1,0,5,1,0.7619047619047619,6,SAT,SAT,73.05369487699863,7.827092447998439,9.333439634494171,True,True,True
primary,139.159.185.102,shape/fxg.trace,shape,FX8G,small_b_long_unary,15,1,0,5,1,0.6666666666666667,10,SAT,SAT,4.134978153000702,4.138233650999609,0.9992133121825731,True,True,True
primary,139.159.185.102,unary_depth/d02.trace,unary_depth,2,small_b_long_unary,31,1,0,5,1,0.8387096774193549,2,SAT,SAT,20.006233226002223,5.892189710997627,3.395381718389189,True,True,True
primary,139.159.185.102,unary_depth/d04.trace,unary_depth,4,small_b_long_unary,31,1,0,5,1,0.8387096774193549,4,SAT,SAT,26.349271356000827,7.0337534159989445,3.7461181530855048,True,True,True
primary,139.159.185.102,unary_depth/d06.trace,unary_depth,6,small_b_long_unary,31,1,0,5,1,0.8387096774193549,6,SAT,SAT,179.3047893769981,8.115091317002225,22.09522756710452,True,True,True
primary,139.159.185.102,unary_depth/d08.trace,unary_depth,8,small_b_long_unary,31,1,0,5,1,0.8387096774193549,8,TIMEOUT,SAT,180.1770646549994,27.71854586200061,,False,,
primary,139.159.185.102,unary_depth/d12.trace,unary_depth,12,small_b_long_unary,31,1,0,5,1,0.8387096774193549,12,TIMEOUT,SAT,180.2066163030031,87.82268853999994,,False,,
primary,139.159.185.102,unary_depth/d16.trace,unary_depth,16,small_b_long_unary,31,1,0,5,1,0.8387096774193549,16,TIMEOUT,TIMEOUT,180.16325627699916,180.14044679899962,,False,,
primary,139.159.185.102,unary_depth/d20.trace,unary_depth,20,small_b_long_unary,31,1,0,5,1,0.8387096774193549,20,TIMEOUT,SAT,180.19456704599725,29.067383937999693,,False,,
primary,139.159.185.102,unary_depth/d30.trace,unary_depth,30,small_b_long_unary,31,1,0,5,1,0.8387096774193549,30,TIMEOUT,TIMEOUT,180.23808237499907,180.14545043899852,,False,,
followup,110.41.76.57,rq4f_binary_budget/b05.trace,b,5,large_b_short_unary,21,5,0,17,1,0.19047619047619047,0,TIMEOUT,TIMEOUT,180.02583774799996,180.08238865399994,,False,,
followup,110.41.76.57,rq4f_binary_budget/b06.trace,b,6,large_b_short_unary,21,6,0,20,1,0.04761904761904767,0,TIMEOUT,TIMEOUT,180.02808613600018,180.03696090400013,,False,,
followup,110.41.76.57,rq4f_binary_budget/b07.trace,b,7,large_b_short_unary,21,7,0,21,1,0.0,0,TIMEOUT,TIMEOUT,180.07187423100004,180.07459834600013,,False,,
followup,110.41.76.57,rq4f_binary_budget/b08.trace,b,8,large_b_short_unary,21,8,0,21,1,0.0,0,TIMEOUT,TIMEOUT,180.068266559,180.04032363700003,,False,,
followup,110.41.76.57,rq4f_boolean_B/B07.trace,B,7,large_b_short_unary,7,3,0,7,1,0.0,0,SAT,SAT,10.496066769000208,5.673136016000171,1.8501348706249476,True,True,True
followup,110.41.76.57,rq4f_boolean_B/B09.trace,B,9,large_b_short_unary,9,4,0,9,1,0.0,0,TIMEOUT,SAT,180.059904405,77.80129031599995,,False,,
followup,110.41.76.57,rq4f_boolean_B/B11.trace,B,11,large_b_short_unary,11,5,0,11,1,0.0,0,TIMEOUT,TIMEOUT,180.0360763419999,180.07444715299994,,False,,
followup,110.41.76.57,rq4f_fixed_B/B07.trace,B_fixed_target,7,large_b_short_unary,7,5,0,7,1,0.0,0,UNSAT,UNSAT,98.53797697200002,8.470145578000029,11.633563563292004,True,True,True
followup,110.41.76.57,rq4f_fixed_B/B09.trace,B_fixed_target,9,large_b_short_unary,9,5,0,9,1,0.0,0,TIMEOUT,UNSAT,180.03986526699987,138.461773558,,False,,
followup,110.41.76.57,rq4f_fixed_B/B12.trace,B_fixed_target,12,large_b_short_unary,12,5,0,12,1,0.0,0,TIMEOUT,TIMEOUT,180.07429553500003,180.04228564699997,,False,,
followup,110.41.76.57,rq4f_unary_B/B07.trace,B,7,small_b_long_unary,7,1,0,5,1,0.2857142857142857,6,TIMEOUT,SAT,180.14566896700012,9.674757051000029,,False,,
followup,110.41.76.57,rq4f_unary_B/B09.trace,B,9,small_b_long_unary,9,1,0,5,1,0.4444444444444444,8,TIMEOUT,SAT,180.1450004259999,45.11052861600001,,False,,
followup,110.41.76.57,rq4f_unary_B/B11.trace,B,11,small_b_long_unary,11,1,0,5,1,0.5454545454545454,10,TIMEOUT,SAT,180.1672896319999,87.9720173610001,,False,,
