task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound
weakening/weaken_consequent/weaken_consequent_20_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.078896003,,,0.043730449,9.56136029,0.014575073,0.015427205,10.312198651001381,1535788,PASSED,16461,1037343,3852416,,11,12678,,,,,1,,1,,,,8,,,10.134384517,,,,
weakening/weaken_consequent/weaken_consequent_20_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.07687068,0.002358692,0.048422602,0.006192853,13.750958457,0.01026383,0.013016802,14.431103759001417,1293576,PASSED,91496,440662,1209131,,11,20043,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.00078853,12.750169927,14.024831763,20,20,0.001018947,0
weakening/weaken_consequent/weaken_consequent_35_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.076671955,,,0.038377661,47.276753964,0.016421098,0.015885805,48.087307349000184,6893476,PASSED,25701,5730343,22113716,,11,32478,,,,,1,,1,,,,8,,,47.698392786,,,,
weakening/weaken_consequent/weaken_consequent_10_25_25.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.081691951,,,0.056632657,3.715602202,0.03333934,0.01728736,4.337916682998184,717004,PASSED,21262,420153,1430466,,11,10778,,,,,1,,1,,,,8,,,4.17866044,,,,
weakening/weaken_consequent/weaken_consequent_10_25_25.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.085346316,0.002427014,0.0345062,0.007164397,16.904656995,0.009542919,0.013640006,17.388805801998387,1116488,PASSED,96226,545916,1429281,,11,23343,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.107022904,15.797634091,17.17936442,50,50,0.001006576,0
weakening/weaken_consequent/weaken_consequent_35_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.068889717,0.004463176,0.103867889,0.010489583,16.590357397,0.009865767,0.017895567,17.134542951000185,1310088,PASSED,95969,649162,1765631,,11,29943,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.023256899,15.567100498,16.944175216,20,20,0.001218251,0
weakening/weaken_consequent/weaken_consequent_10_30_30.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.080240773,,,0.042344695,4.423104876,0.019878589,0.020242668,5.037716767001257,812684,PASSED,24922,502223,1711616,,11,12878,,,,,1,,1,,,,8,,,4.87912687,,,,
weakening/weaken_consequent/weaken_consequent_10_30_30.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.077986194,0.002413213,0.028660928,0.007428794,19.425391331,0.009032286,0.014230771,19.93138154800181,1417476,PASSED,98767,627406,1626523,,11,26643,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.055663174,18.369728157,19.704202454,60,60,0.001106309,0
weakening/weaken_consequent/weaken_consequent_75_10_10.trace,weakening,atlas-b,1,TIMEOUT,,ATLAS_B,,18,3,0,11,,,,,,MIN_EXPANDED_SIZE,,,0.080448396,,,,,,,180.31782156699774,4444128,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,
weakening/weaken_consequent/weaken_consequent_70_10_10.trace,weakening,atlas-b,1,TIMEOUT,,ATLAS_B,,18,3,0,11,,,,,,MIN_EXPANDED_SIZE,,,0.081115495,,,,,,,180.33184978899953,4439080,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,
weakening/weaken_consequent/weaken_consequent_75_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.096284913,0.003131723,0.2149239,0.013422155,25.852199582,0.009244156,0.023270027,26.629851174999203,2141464,PASSED,107599,1205170,3249639,,11,56343,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.19944295,24.652756632,26.388268288,20,20,0.001418468,0
weakening/weaken_consequent/weaken_consequent_70_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.090734957,0.002665281,0.191703594,0.011361471,24.223010989,0.018371178,0.027082374,24.96581481999965,2079480,PASSED,105857,1135654,3064123,,11,53043,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.144610305,23.078400684,24.741955863,20,20,0.001094079,0
weakening/weaken_consequent/weaken_consequent_10_60_60.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.092617836,,,0.042005781,8.721607813,0.019364563,0.017159356,9.414470356001402,1515352,PASSED,46882,994643,3398516,,11,25478,,,,,1,,1,,,,8,,,9.176863912,,,,
weakening/weaken_consequent/weaken_consequent_10_60_60.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.085548342,0.003127261,0.026131009,0.010543314,31.375612513,0.00888429,0.035963225,32.03829590100213,2045456,PASSED,113788,1116554,2809751,,11,46443,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.471409332,29.904203181,31.780086683,120,120,0.001071648,0
weakening/weaken_consequent/weaken_consequent_10_80_80.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.085295877,,,0.051378155,10.877699095,0.021608071,0.017611948,11.568750859998545,1851152,PASSED,61522,1322923,4523116,,11,33878,,,,,1,,1,,,,8,,,11.341781464,,,,
weakening/weaken_consequent/weaken_consequent_10_55_55.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.082574416,,,0.044758574,7.867014459,0.020123923,0.015859952,9.302381593999598,1442840,PASSED,43222,912573,3117366,,11,23378,,,,,1,,1,,,,8,,,9.082022639,,,,
weakening/weaken_consequent/weaken_consequent_10_55_55.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.073909318,0.003202244,0.031032604,0.018343451,22.499719136,0.011358698,0.03090126,24.37929872099994,1726128,PASSED,113148,1031365,2603010,,11,42978,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.418627584,21.081091552,24.133306031,110,110,0.000962455,0
weakening/weaken_consequent/weaken_consequent_10_80_80.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.085868012,0.004658162,0.049747715,0.0228793,33.312472251,0.009851748,0.036877618,34.092850206998264,2479896,PASSED,126049,1438767,3588668,,11,59478,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.638137692,31.674334559,33.832239503,160,160,0.00113895,0
weakening/weaken_consequent/weaken_consequent_25_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.070321105,,,0.037859383,13.958259553,0.016242784,0.015786593,14.647690861002047,2400636,PASSED,19541,1890443,7143316,,11,18278,,,,,1,,1,,,,8,,,14.3815434,,,,
weakening/weaken_consequent/weaken_consequent_25_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.081845918,0.00232286,0.057435109,0.00687996,11.750195164,0.009968641,0.013210565,12.306705078997766,1555340,PASSED,93154,510170,1394639,,11,23343,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,0.930436421,10.819758743,12.03913896,20,20,0.00116534,0
weakening/weaken_consequent/weaken_consequent_10_95_95.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.088120659,,,0.058116017,14.102900318,0.048038814,0.366770552,15.221252987001208,2060328,PASSED,72502,1569133,5366566,,11,40178,,,,,1,,1,,,,8,,,14.988278227,,,,
weakening/weaken_consequent/weaken_consequent_10_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.073932493,,,0.029838138,1.873083424,0.014927944,0.021972161,2.411696994000522,346176,PASSED,10282,173943,587016,,11,4478,,,,,1,,1,,,,8,,,2.261633863,,,,
weakening/weaken_consequent/weaken_consequent_10_95_95.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.096378766,0.002598855,0.029446738,0.012633147,41.87439223,0.010032464,0.037793493,42.591856613002165,2442076,PASSED,131485,1686736,4189621,,11,69543,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.714456919,40.159935311,42.323354949,190,190,0.001005725,0
weakening/weaken_consequent/weaken_consequent_10_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.075877864,0.002456914,0.029121185,0.006533691,14.945333293,0.010002993,0.0159937,15.340122515997791,843240,PASSED,88784,301526,837995,,11,13443,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,0.932077274,14.013256019,15.163821034,20,20,0.000990556,0
weakening/weaken_consequent/weaken_consequent_50_10_10.trace,weakening,atlas-b,1,TIMEOUT,,ATLAS_B,,18,3,0,11,,,,,,MIN_EXPANDED_SIZE,,,0.077863626,,,,,,,180.3076199829993,4440152,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,
weakening/weaken_consequent/weaken_consequent_50_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.079752999,0.002480945,0.144650348,0.008312017,19.404778503,0.009089548,0.018760591,20.36887817400202,1623440,PASSED,100216,857638,2322107,,11,39843,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.151667104,18.253111399,19.815768367,20,20,0.001101069,0
weakening/weaken_consequent/weaken_consequent_60_10_10.trace,weakening,atlas-b,1,TIMEOUT,,ATLAS_B,,18,3,0,11,,,,,,MIN_EXPANDED_SIZE,,,0.078492556,,,,,,,180.3355646209966,4429144,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,
weakening/weaken_consequent/weaken_consequent_30_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.080023819,,,0.039363733,22.170127489,0.022792178,0.020723483,22.940960690000793,4085172,PASSED,22621,3132043,11967716,,11,24878,,,,,1,,1,,,,8,,,22.600492972,,,,
weakening/weaken_consequent/weaken_consequent_30_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.083904331,0.002418164,0.081270002,0.00686511,13.904807087,0.009693725,0.03050126,14.485693530998105,1127056,PASSED,94805,579654,1580123,,11,26643,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,0.902209472,13.002597615,14.260232928,20,20,0.000988646,0
weakening/weaken_consequent/weaken_consequent_60_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.087759882,0.002503175,0.162615744,0.008389911,22.507957142,0.009061307,0.019634325,23.208218838000903,1976280,PASSED,102971,996670,2693139,,11,46443,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.115187387,21.392769755,22.952238764,20,20,0.001113819,0
weakening/weaken_consequent/weaken_consequent_10_70_70.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.075960844,,,0.064593139,10.520122334,0.043841109,0.017471828,11.506376061999617,1683540,PASSED,54202,1158783,3960816,,11,29678,,,,,1,,1,,,,8,,,11.317744454,,,,
