batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,e4AtlasStatus,e4MacroStatus,activeAnchors,e4MacroExpandedSize,B_over_K,activeAnchors_over_expandedSize,atlasStatus,macroStatus,pairedTranslated,atlasVars,macroVars,atlasClauses,macroClauses,C_V,C_C,atlasWallSec,macroWallSec,atlasModelSha256,macroModelSha256
b2,baseTest/0028.trace,baseTest,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,b8f882bacbebe284185916f6223600b429c1d4be629d4815681951c6ffd7a893,3,15,6,SAT,SAT,5,5,1.0,1.0,TRANSLATED_ONLY,TRANSLATED_ONLY,True,85263,124063,272406,255102,0.6872556684910086,1.0678316908530705,1.5309600110003885,2.1816220789996805,55680e8a1cf1b709f5a516443eb8f4b8a149834e9ab389561148dcb7c688f4c3,0d85d9e94228ff53ed0a442c153194d1a31738ab4027dcb68c4d991a7f2b32b1
b2,increasingNumVariables/0027.trace,increasingNumVariables,plain,37,2,0,8,1,MIN_EXPANDED_SIZE,,11,eef1369c346b66bd1122b82261ff2687558f5613d70c776b649a1aacabd58a8d,6,30,30,TIMEOUT,TIMEOUT,,,4.625,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,867709,600095,2927953,1296275,1.4459527241520094,2.2587437079323447,4.584515178999936,5.685931761000575,f2f5b123703e067556072838a3bb8f5d864ef972d17c343b2eaefe639d108d2e,fa66a550a5b2c32f3877f42e4ab8b3d98909f0fa1caef80d585db918a05008ae
b2,equal/0037.trace,equal,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,8e23125d1a97f16b9aa603e0f88af1d097eac1636d15d041a3b233ac7df17b50,3,10,10,SAT,SAT,3,5,1.25,0.6,TRANSLATED_ONLY,TRANSLATED_ONLY,True,81346,113665,259860,231644,0.7156644525579554,1.1218076013192657,1.3802385569997568,1.981078036999861,5c14e0d31b8d749627cbfcd45ecb2ec8f13462909a2a56debf5375ae8fa97f26,ffd620e0be1c6ea9aff08dd85fc71c14ada7c02b699e9a331b2d25fed9bc09a6
b2,5to10Traces/0084.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,90b35332457b1de8f31e323bc011ba287b72e2f64855510dfd38861206238f9e,3,225,225,TIMEOUT,TIMEOUT,,,2.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,8896899,4052871,30112255,8588823,2.1952090258979373,3.5059815530020817,48.40320690199951,28.820210793000115,c69742ce4e458f5f1fb2e9b6107b9ffcddb0af093a274098c1cdbea97f679a54,4d1a5d11959fcc39fb25c2f5c205493e837c712212dd532b3c04ab941091fa2b
b2,moreDetailedTest/0004.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,e136448c7c701e599a0b3efdcad78036bb9e505fbf0def50d71a99f2f147e298,3,150,150,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1178106,1630836,3774000,3317379,0.7223939133058137,1.1376451107937924,7.6891523220001545,12.044483335000223,d353a05c83a14afc4bc133bc0ef1410c5dd838bfd1d9ec4b7a758336ee2850c0,439039417d20a49443d58dc7f39d9369dee4d4b5541ca945aade61c11677e663
b2,baseTest/0041.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,c3386b7fed1390e9dbbdadbbe614bf374aa59ce6cfa6e0242f58554e530e34e2,3,49,451,SAT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3061994,3990454,9983140,8364214,0.7673297324063878,1.1935538712902372,18.454198606999853,26.069089676999283,fb7d23a9b60743a410454e5049dc73f56564c473b93b6e23fb7d54207fe6bbcc,3d25994c1e627ce7c31df877b7c199bc0dd04cdba73f4c525accdaf5473a3b15
b2,disjunctedExistence/0067.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,5,91d865176d70910e5658d0568f6799c7fd07c31c47b1eea93804f38bf3e5376c,7,8,400,TIMEOUT,TIMEOUT,,,16.75,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,8334817,4278327,28712583,10088519,1.9481486571737037,2.8460652153205044,49.65176523199989,27.217591265999545,2f649cfb05b9ea25ce1eecf0053d24dd9d0241b5731ae8c4d4a241ed5d339a4e,9ba08ce0e0f9a9e0fbabb4fda48a8ec4ad9bc26d0bc0b17789834de842238d6d
b2,equal/0015.trace,equal,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,9,6a33b18c2367b297b6d09d9e44c594eb9d376ae81f2c1def6e1e3f6b14dd33eb,3,100,100,TIMEOUT,SAT,3,6,2.25,0.5,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1767531,1808046,5838235,3827707,0.9775918311812863,1.5252565047429179,8.34048815999995,13.649610724000013,3dd8a091a549dfa1d9e6fb1ca5905d747d88c9e0e52799e90a636a5983b07faa,8ad04bd045ed2aed9df1c7f33de391c7871e9dd3341d2b3bccd9e38969bcf69d
b2,increasingNumVariables/0017.trace,increasingNumVariables,plain,20,2,0,8,1,MIN_EXPANDED_SIZE,,5,259f511901444c8d8fdcc15939dc7c2cbcc4ef75a52afbc2fca95b757b67dfdc,5,20,20,TIMEOUT,TIMEOUT,,,2.5,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,187317,231413,608455,474591,0.8094489073647548,1.2820618174385945,1.9310691360005876,3.0323132339999574,4d19026cf905b619edd826882606dc9b8dde876bacbc25a84fd16d30e1b12bb1,78f2ba96adba8644148d8ddd22e824dcfe08ac4d083e04fc61e7bee34c801160
b2,disjunctedExistence/0054.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,11,092edbe817520f3dea1c1708f793a024f854f6785c11b969e7cc80168bfe7282,7,150,150,TIMEOUT,TIMEOUT,,,16.75,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,4418567,2877970,14926643,6117338,1.5353068308564717,2.440055298562872,24.664412326000274,22.061135505000493,1f4bf0ab5a83fc71dcbc70504dbb9f542c12a709b601fce7303ad40fa224c7d3,787ae18c0a0bf7a0af48b6771d8e403e3d1e7d4de8cef62e83ef1847a9683d47
b2,moreDetailedTest/0010.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,5e3e0c2c5d3bd4c91cd27e1e8b1cfea9ac7a38750743a778544f7df88c109936,3,400,400,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3136606,4357700,10049250,8875293,0.7197847488353948,1.1322724782156488,17.604358498000693,31.074367029000314,ab6610ace62f404fdcb41a88d5db8e6e3b978ebd394ee889832905778c93d9b6,fe9a54d5151095a1d823e76a3943cf126555516d63c42cb7ea1e18a2e9230ee3
b2,increasingNumVariables/0035.trace,increasingNumVariables,plain,70,2,0,8,1,MIN_EXPANDED_SIZE,,15,15ebecdc452d631fb7707f95523a5ecc78bd0f2bff49d35ee200f63e7c5c6b2f,7,30,30,TIMEOUT,TIMEOUT,,,8.75,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1463425,602617,5007390,1296420,2.428449579085887,3.8624751238024713,6.487757361000149,6.888696638000511,da8efc4cc6d13fefab01eadb6c9db8b2cb78a65c777064f8685269a08a245dd9,a43d4e9b8bbc54699ff4e17040f4eb3d9181d6403810f11a493ad12c6c34cf82
b2,5to10Traces/0016.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,2,200,200,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1446255,1518562,4593799,3058437,0.9523845585494698,1.5020087057539522,9.49300849500014,11.896659132000423,6bf7744089831fad289587bb3fdd42f952c186280b6d0aa504634e61f6005e70,26729a3c961dd9e3cdab63b9fa234600f64a52710eda90e88dc0e8a5a011e442
b2,moreDetailedTest/0059.trace,moreDetailedTest,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,7,ac97087e8a8cb6861346d5692115d09083d18031456aedc00407096699c3993a,3,125,125,TIMEOUT,TIMEOUT,,,2.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1534245,1978786,5001815,4154532,0.775346601401061,1.203941863969275,8.339450147000207,15.604107154999838,8f1f2bdd27e8dfd73d2b1d5c028af47cbeb19ae96bc43e43905ec69727d7a9c2,38a6ecc7f29eed27ed23d400db79e28d670e8eaa7c296c7688571b8d77af08c9
b2,baseTest/0009.trace,baseTest,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,654e6c0caf520ddc287bc85bc4ecc4a8a114c520ebe18f105adb3e3161790123,2,4,96,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,363293,514588,1153326,1038081,0.705988091444029,1.1110173483572092,2.782618899999761,5.585563495000315,bf85b7af81d354d6a8993479597ada6ace43b0641376c0203124b36f00d7b029,29a2925cb46cdbfcca51f823b1de66fa1192b9e94c1f7be2f9e7f24dedbbc26e
b2,disjunctedExistence/0066.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,9,43d4cd6a258fce14a544ddfc107ce97e4591d36af4a6b020ee012f67194b5a6f,7,400,400,TIMEOUT,TIMEOUT,,,16.75,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,8800036,7610683,29504739,16153695,1.1562741477998755,1.8265009336873081,57.46316083900001,54.91180353400068,a15ac58128ab6a813c2a6ebb5114a89dc7ca08480b8cf5b47b997b0d84b7abc1,10a84baa9e665ce8c7e48b1ec970121e9b259dc4e0e5955a28736f3b19451046
