algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction,runCommit,timeoutSec,solved
ATLAS-B,rq4c_unary/d12.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,13,0,0,2,1,,,,13,MIN_EXPANDED_SIZE,0,13,0.030953258,,,0.92330217,90.281077924,0.020551471,0.017446089,91.80896678600038,3259692,PASSED,9285,2342659,8114624,,14,12977,,,,,2,,2,,,,13,,,91.541084093,,,,,13,12,0,12,False,certified_unary_depth,12,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))),12,0,1,16,16,14,none,,1,0.8461538461538461,,20263924,11afb9412d79f4fd0ea381913c73c282a5268a388550096375dfe9768b6af3c6,13,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_unary/d12.trace,rq4c_unary,macro,1,SAT,,MACRO,,13,0,0,2,1,14,1,1,13,MIN_EXPANDED_SIZE,0,13,0.034993891,0.000487611,0.009137309,0.007984543,1.908062965,0.004968644,0.015421473,2.230417826000121,252336,PASSED,16013,51561,114024,,2,2869,14,1,12.0,12,2,,2,WEIGHTED_MAXSAT,14,13,13,0.443672127,1.464390838,2.070939105,32,32,0.00524062,0,13,12,0,12,False,certified_unary_depth,12,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))),12,0,1,16,16,14,none,,1,0.8461538461538461,,20263924,11afb9412d79f4fd0ea381913c73c282a5268a388550096375dfe9768b6af3c6,13,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d14.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,15,0,0,2,1,,,,,MIN_EXPANDED_SIZE,,,0.030496338,,,,,,,180.270490461,5234672,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,certified_unary_depth,14,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))),14,0,1,16,16,16,none,,1,0.8666666666666667,,20263924,701d2e37c824d0e88b70b0710badd07faa875fc8eda62248aaaa3cadd27b1463,15,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,False
MacroATLAS,rq4c_unary/d14.trace,rq4c_unary,macro,1,SAT,,MACRO,,15,0,0,2,1,16,1,1,15,MIN_EXPANDED_SIZE,0,15,0.032735409,0.000570413,0.010773267,0.007997953,2.096862239,0.005814043,0.018108834,2.4129154450001806,250012,PASSED,17327,61365,138900,,2,3193,16,1,14.0,14,2,,2,WEIGHTED_MAXSAT,16,15,15,0.507687075,1.589175164,2.262981792,32,32,0.005758822,0,15,14,0,14,False,certified_unary_depth,14,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))),14,0,1,16,16,16,none,,1,0.8666666666666667,,20263924,701d2e37c824d0e88b70b0710badd07faa875fc8eda62248aaaa3cadd27b1463,15,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d16.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,17,0,0,2,1,,,,,MIN_EXPANDED_SIZE,,,0.030003207,,,,,,,180.33068507900043,6639828,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,certified_unary_depth,16,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))))),16,0,1,16,16,18,none,,1,0.8823529411764706,,20263924,7f2b19c33a376f4ef148362afb47779a65f1f8e81bb24d1f2a449fe0cb3d3592,17,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,False
MacroATLAS,rq4c_unary/d16.trace,rq4c_unary,macro,1,SAT,,MACRO,,17,0,0,2,1,18,1,1,17,MIN_EXPANDED_SIZE,0,17,0.0309873,0.000566433,0.011306759,0.009384835,2.983822376,0.005006785,0.018883522,3.286636219000684,414308,PASSED,18745,72100,166772,,2,3517,18,1,16.0,16,3,,3,WEIGHTED_MAXSAT,18,17,17,0.634755683,2.349066693,3.148054936,32,32,0.005472546,0,17,16,0,16,False,certified_unary_depth,16,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))))),16,0,1,16,16,18,none,,1,0.8823529411764706,,20263924,7f2b19c33a376f4ef148362afb47779a65f1f8e81bb24d1f2a449fe0cb3d3592,17,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d20.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,21,0,0,2,1,,,,,MIN_EXPANDED_SIZE,,,0.031826038,,,,,,,180.439301806,8842536,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,certified_unary_depth,20,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))))))))),20,0,1,16,16,22,none,,1,0.9047619047619048,,20263924,2992b73e47d620d18c78cb8f78e475ef576f786af269ff31f4bef55511b22d4c,21,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,False
MacroATLAS,rq4c_unary/d20.trace,rq4c_unary,macro,1,SAT,,MACRO,,21,0,0,2,1,22,1,1,21,MIN_EXPANDED_SIZE,0,21,0.029802102,0.000513242,0.01134492,0.014671296,3.4753527,0.004918333,0.017434989,3.8053064340001583,418528,PASSED,21893,96300,230475,,2,4165,22,1,20.0,20,3,,3,WEIGHTED_MAXSAT,22,21,21,0.767395538,2.707957162,3.662577756,32,32,0.0052331,0,21,20,0,20,False,certified_unary_depth,20,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))))))))),20,0,1,16,16,22,none,,1,0.9047619047619048,,20263924,2992b73e47d620d18c78cb8f78e475ef576f786af269ff31f4bef55511b22d4c,21,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_unary/d24.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,25,0,0,2,1,,,,,MIN_EXPANDED_SIZE,,,0.030899108,,,,,,,180.28422542499993,4424084,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,certified_unary_depth,24,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))))))))))))),24,0,1,16,16,26,none,,1,0.92,,20263924,80e9d04e3f05ceb7c7a6e35fd192a1b7671e3f965415bdf664f40f9064ccb5be,25,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,False
MacroATLAS,rq4c_unary/d24.trace,rq4c_unary,macro,1,SAT,,MACRO,,25,0,0,2,1,26,1,1,25,MIN_EXPANDED_SIZE,0,25,0.032468524,0.000476571,0.0104978,0.010121892,4.030104861,0.005414813,0.021236407,4.396977679999509,430648,PASSED,25457,124014,304636,,2,4813,26,1,24.0,24,3,,3,WEIGHTED_MAXSAT,26,25,25,0.685502214,3.344602647,4.223154381,32,32,0.005391263,0,25,24,0,24,False,certified_unary_depth,24,certified_unary,X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(X(x0)))))))))))))))))))))))),24,0,1,16,16,26,none,,1,0.92,,20263924,80e9d04e3f05ceb7c7a6e35fd192a1b7671e3f965415bdf664f40f9064ccb5be,25,0,certified_unary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
